,Causal Phrase,Sentiment
2072,screen mirroring is not working,NEUTRAL
2073,it's little bit slow in connection,NEUTRAL
2074,connectivity is too bad don't buy it,NEGATIVE
2075,litlle bit problem in connection,NEGATIVE
2076,Connectivity Problem for mirror cast pls don't purchase,NEGATIVE
2077,connectivity of screen mirroring is very poor,NEGATIVE
2078,Vision is very poorPoor connectivity,POSITIVE
2079,Mobile screen mirroring very bad,NEGATIVE
2080,connectivity is superb overall a best choice I would recommend,POSITIVE
2081,this tv is best better connectivity,POSITIVE
2082,connectivity is poor screen mirror is very bad,NEGATIVE
2083,screen mirroring is worst only 15 minute it connected,NEGATIVE
2084,connectivity is so bad specially when Bluetooth,NEGATIVE
2085,wifi connectivity hope xiaomi solve this issue,POSITIVE
2086,Issue with screen mirroring video not playing perfectly,NEGATIVE
2087,don't expect every feature like android mobile,POSITIVE
2088,Bluetooth doesn't work,NEUTRAL
2089,WiFi connectivity is little,NEUTRAL
2090,good picturegood soundsimple user interface,POSITIVE
2091,superb tv Best price smart Android TV,POSITIVE
2092,but why the hell does this tv don't support NETFLIX,NEGATIVE
2093,pro 4A a good Android tv,POSITIVE
2094,"for money, connectivity as good",POSITIVE
2095,In this TV e not connecting a LAN cable and USB ports are not working,NEUTRAL
2096,screen casting is a bit slow,NEUTRAL
2097,Connectivity is very poor either Chromecast or wifi,NEGATIVE
2098,worst connectivity,NEGATIVE
2099,Not a miracast including only crom cast  and usb plug bad only two months working,NEGATIVE
2100,Screen mirroring has issue earlier after software update its working,NEUTRAL
2101,am unable to insert usb drive,NEUTRAL
2102,connection is vry poor,NEGATIVE
2103,Connectivity is a little bit slow,NEUTRAL
2104,WiFi) is bit slow,NEUTRAL
2105,good connectivity,POSITIVE
2106,it's connectivity is bit slow,NEUTRAL
2107,one only connectivity issue,NEUTRAL
2108,Screen Mirroring options not working,NEUTRAL
2109,bad connectivity and bad network speed,NEGATIVE
2110,Connectivity problem worst,NEGATIVE
2111,chromecast feature work very nice,POSITIVE
2112,Also bad connectivity in mobile  screen mirroring,NEGATIVE
2113,good connectivity,POSITIVE
2114,am facing a problem with screen mirroring,NEGATIVE
2115,Connecting( screen mirroring)problem,NEUTRAL
2116,so connectivity not good,NEGATIVE
2117,bed products mobile casting not properly,NEUTRAL
2118,Very poor connectivity while screen mirroring,NEGATIVE
2119,Mobile casting problem,NEGATIVE
2120,Connectivity is little bit poor,NEGATIVE
2121,not properly connected with mobile,NEUTRAL
2122,it doesn't showing my mobile local videos,NEUTRAL
2123,screen mirroring is not working,NEUTRAL
2124,watching TV shows via Cable connection  voice clarity so bad,NEGATIVE
2125,often get error saying Poor connectivity while I can stream,NEGATIVE
2126,having issue when trying to ise Google cast screen,NEUTRAL
2127,casting not working,NEUTRAL
2128,connectivity is very poor not working Chromecast,NEGATIVE
2129,facing mobile casting (Screen mirroring) issue,NEUTRAL
2130,Cast screen is an issue,NEUTRAL
2131,"connectivity is so poor,please improve",POSITIVE
2132,"want screen mirroring, its didn't working very bad connectivity",POSITIVE
2133,Screen mirroring with mobile phone is sometimes having bit complicated,NEUTRAL
2134,d screen casting probl,NEUTRAL
2135,connectivity is very poor when connected to mobile hotspot,NEGATIVE
2136,screen mirroring doesn't work as expected,NEUTRAL
2137,connectivity is very bad screen mirroring,NEGATIVE
2138,CONNECTIVITY IS AWESOME AND CASTING IS A SUPERB,POSITIVE
2139,little bit problem while connecting with mirror casting,NEGATIVE
2140,worst connectivity issue with Bluetooth,NEGATIVE
2141,connectivity is tooo poor,NEGATIVE
2142,But need help with screen mirroring,POSITIVE
2143,connectivity  problem,NEGATIVE
2144,External Hard drive don't work,NEGATIVE
2145,bad condition on screen mirroring,NEGATIVE
2146,connectivity problem wifi problem so sad,NEGATIVE
2147,connectivity is biggest problem,NEGATIVE
2148,screen mirroring connectivity problem don't buy this TV,NEGATIVE
2149,issue with the connectivity,NEUTRAL
2150,Voice instruction is having issue when connected usb drive,NEUTRAL
2151,TV does not support all Bluetooth audio devices3,NEGATIVE
2152,mobile connectivity is awesome overall good,POSITIVE
2153,Casting Connection Problem,NEGATIVE
2154,connectivity is very poor also not casting,NEGATIVE
2155,Only problem to connect the usb pendrive,NEGATIVE
2156,it not support screen mirroring directlyit little bit complicated,NEGATIVE
2157,don't buy this product internet connectivity is not working properly,NEUTRAL
2158,one problem in it that the hdmi,NEGATIVE
2159,TV's Bluetooth doesn't connected to my bluetooth speaker,NEUTRAL
2160,screen mirroring the connectivity is very poor,NEGATIVE
2161,connectivity problem,NEGATIVE
2162,also bluetooth connection is too poor,NEGATIVE
2163,Bluetooth connectivity is poor,NEGATIVE
2164,requires internet best,POSITIVE
2165,screen mirroring option is very bad,NEGATIVE
2166,bluetooth connection bad,NEGATIVE
2167,good sound good wifi connectivity,POSITIVE
2168,poor pic sounds connectivity  waste of money,NEGATIVE
2169,run on 8mbps broadband connection very easily,POSITIVE
2170,some connectivity issue like mirror cast you can find problem,NEGATIVE
2171,Nice Android TV excellentð,POSITIVE
2172,connectivity good Total good Tv is best,POSITIVE
2173,casting or screen mirrioing does not happen properly,NEUTRAL
2174,the connectivity is poor like sometimes wifi disconnected,NEGATIVE
2175,connectivity issue  google cast problem to cast we need,NEGATIVE
2176,poor WIFI connectivity,NEGATIVE
2177,connectivity issues like casting screen totally disappointed,NEGATIVE
2178,Once I had problem with auto play in HDMI,NEGATIVE
2179,There is casting issue tooMain problem,NEGATIVE
2180,Bluetooth connectivity is very slow,NEUTRAL
2181,there's a small connectivity problem using screen casting,NEGATIVE
2182,smart mirrored not working properlySome tyme not catch wifi,POSITIVE
2183,cable net bad,NEGATIVE
2184,Only problem facing with sundirect tv connection,NEGATIVE
2185,Excellent mobile,POSITIVE
2186,connectivity is very poor working,NEGATIVE
2187,screen mirroring is bad,NEGATIVE
2188,"Connectivity is not so ok, every time I got problem connecting my Bluetooth devices",NEGATIVE
2189,"e, but need to fix the Bluetooth delayed output ",NEGATIVE
2190,Best TV very nice connectivity,POSITIVE
2191,connecting or slow for wifi,NEUTRAL
2192,Connectivity is very poor,NEGATIVE
2193,Con is wifi is very poor for mobile hotspot,NEGATIVE
2194,Bluetooth connectivity is very poor,NEGATIVE
2195,is good everything is fine only issue with connectivity. Chromecast don't work,POSITIVE
2196,don't expect for internet using,NEUTRAL
2197,while connecting wireless display it will not working,NEUTRAL
2198,also bluetooth headphones works great,POSITIVE
2199,other devices on wifi,NEUTRAL
2200,usb data slow,NEUTRAL
2201,featuresBut screen casting very very bad,NEGATIVE
2202,bluetooth very bad,NEGATIVE
2203,connectivity is little bit poor,NEGATIVE
2204,Connectivity of Chromecast is very poor,NEGATIVE
2205,Screen mirror or screen Casting  not working,NEUTRAL
2206,.There is a problem when connecting cast screen perfectl,NEGATIVE
2207,Chromecast connection is very very bad,NEGATIVE
2208,Awesome ResolutionQuick Connection with WiFi APGreat,POSITIVE
2209,Connectivity is awsome nice fast,POSITIVE
2210,screen cast is very poor connectivity,NEGATIVE
2211,connectivity very poor screen mirroring not working,NEGATIVE
2212,Screen mirror using mobile not working,NEUTRAL
2213,I'm having issue on mirror casting,NEUTRAL
2214,chromecast connection bad,NEGATIVE
2215,Very poor features of cast screen,NEGATIVE
2216,screen mirroring problem is being occured with samsung mobile,NEGATIVE
2217,bad since wireless connection,NEGATIVE
2218,doesn't work well on mirror casting!,NEGATIVE
2219,all TV having screen mirroring problem,NEGATIVE
2220,best performance with net connection,POSITIVE
2221,cast screen not working,NEUTRAL
2222,slow net connection screen mirroring is not working,NEUTRAL
2223,screen mirroring quiet problem,NEGATIVE
2224,connectivity is very nice thank,POSITIVE
2225,mobile mirroring connection bad,NEGATIVE
2226,Mirror casting problem,NEGATIVE
2227,Mirror casting with phone is not working,NEUTRAL
2228,wifi connectivity is poor,NEGATIVE
2229,Bluetooth connectivity is very bad,NEGATIVE
2230,some problems in mirror casting,NEGATIVE
2231,Mi kindly help to resolves screen Mirroring problem,POSITIVE
2232,little bit problem in casting,NEGATIVE
2233,works good with MI Devices,POSITIVE
2234,facing casting issue,NEUTRAL
2235,awesome experience good to children's by using WiFi,POSITIVE
2236,awesome tvconnectivity is good,POSITIVE
2237,I don't know why some people raised issue of connectivity,NEUTRAL
2238,Connectivity of Bluetooth is not poor,POSITIVE
2239,poor tuning when connect the cable TV,NEGATIVE
2240,not very good connectivity,NEGATIVE
2241,issue is with connectivity. Its Difficult to cast the screen from mobile,NEGATIVE
2242,accessing internet is bit slow,NEUTRAL
2243,casting is very poor,NEGATIVE
2244,very poor connectivity between mobile,NEGATIVE
2245,connectivity is so poor for Bluetooth its so slow,NEGATIVE
2246,Wifi connectivity is very poor,NEGATIVE
2247,cast screen connection problem and wifi connection problem,NEGATIVE
2248,screen mirroring not working without internet,NEUTRAL
2249,mi TV is having WiFi connection issue,NEUTRAL
2250,"But, Connectivity is bad with WiFi",NEGATIVE
2251,mobile performance is excellent,POSITIVE
2252,connect network problem USB problem not connecting,NEGATIVE
2253,Connectivity is excellent,POSITIVE
2254,handsome price gud connectivity,POSITIVE
2255,little bit connectivity problem,NEGATIVE
2256,only problem is wifi getting disconnected,NEGATIVE
2257,Connectivity is note good,POSITIVE
2258,overall review is okok The WiFi connectivity is poor,NEGATIVE
2259,I find a lot connectivity issue. The chrome cast especially has poor connectivity,NEGATIVE
2260,But connectivity little bit problem,NEGATIVE
2261,A bit disappointed by Netflix,NEGATIVE
2262,Bluetooth connect just small problem,NEGATIVE
2263,One thing need to improve is chrome casting,POSITIVE
2264,"Severe issues with connectivity, netflix prime does not work",NEGATIVE
2265,best in price android tv,POSITIVE
2266,Bluetooth connectivity Need to improve,POSITIVE
2267,have good WiFi connection you get better,POSITIVE
2268,wireless connectivity is not good,NEGATIVE
2269,you connect bluetooth mouse your voice command wont work,NEUTRAL
2270,super mi android TV full in nice,POSITIVE
2271,1st Xiaomi let us know the true value of mobile,POSITIVE
2272,nnection.that,NEUTRAL
2273,pro super working net connectivity,POSITIVE
2274,Because this TV don't have Screen cast (screen mirroring) option,NEUTRAL
2275,"chromecast issue, wifi connection issue android problem, cable tv tuning worst",NEGATIVE
2276,screen mirror work only WiFi not working,NEUTRAL
2277,cast screen process is little bit difficult,NEGATIVE
2278,screen mirroring not working,NEUTRAL
2279,little bit connectivity problem,NEGATIVE
2280,connectivity is very poor,NEGATIVE
2281,Poor connectivity,NEGATIVE
2282,connectivity is poor,NEGATIVE
2283,Issue with screen mirroring,NEUTRAL
2284,Connectivity issue,NEUTRAL
2285,Screen mirroring(cast) is lagging is the only problem,NEGATIVE
2286,Wifi connectivity is very poor,NEGATIVE
2287,Ethernet port was not working also screen casting,NEUTRAL
2288,WiFi connectivity is very poor,NEGATIVE
2289,miracast works,NEUTRAL
2290,poor connectivity,NEGATIVE
2291,connectivity is too bad,NEGATIVE
2292,Also facing multiple issues with Bluetooth connectivity,NEUTRAL
2293,always an issue when syncing with my bluetooth,NEUTRAL
2294,connectivity issue,NEUTRAL
2295,one problem is there Connectivity on Miracast to mobile,NEGATIVE
2296,Connectivity with WiFi is excellent when we have good,POSITIVE
2297,Internet connectivity issue,NEUTRAL
2298,Av connection problem,NEGATIVE
2299,has sim supporting modem(dongle plug) then it should be,POSITIVE
2300,casting works fine,POSITIVE
2301,connectivity is superb,POSITIVE
2302,Major problem - Connectivity,NEGATIVE
2303,The wifi don't support 5Ghz band,NEGATIVE
2304,Start up time is high also connectivity,NEUTRAL
2305,Casting was Confusing Unable,NEGATIVE
2306,cast screen featune doesn't work,NEUTRAL
2307,Miracast is very bad working on mi tv 4a pro,NEGATIVE
2308,Wireless connectivity is poor,NEGATIVE
2309,youtube casting didn't face any problem,POSITIVE
2310,It doesn't require any internet connection,NEUTRAL
2311,connectivity is very poor. Screen mirroring is also poor,NEGATIVE
2312,Miracast is not connected properly,NEUTRAL
2313,mobile connectivity is very poor,NEGATIVE
2314,Only connection problem,NEGATIVE
2315,Connectivity has no issues . Chromecast works great,POSITIVE
2316,The Chromecast is freezing and internet is also slow,NEGATIVE
2317,connectivity is little bit slow,NEUTRAL
2318,Connectivity to screen mirroring not working,NEUTRAL
2319,screen mirroring is too damn slow,NEGATIVE
2320,Android Interface --- GoodScreen Casting,NEUTRAL
2321,casting connectivity is bad,NEGATIVE
2322,build quality does not support screen mirroring for any device,NEGATIVE
2323,having few issues while mirror casting,NEUTRAL
2324,Mi tv has connectivity problem via cable,NEGATIVE
2325,poor connection capability,NEGATIVE
2326,Even Wifi is connected youtube not able to connect,NEUTRAL
2327,wireless connection very poor,NEGATIVE
2328,cast screen not upto mark,NEUTRAL
2329,connectivity is excellent casting,POSITIVE
2330,There is a major issue with Wi-Fi connection,NEUTRAL
2331,Edit:  Google assistant is not working properlyCasting,NEUTRAL
2332,WiFi connection is very slow,NEUTRAL
2333,connectivity is ok sounds good this is the best,POSITIVE
2334,little bit issues with connectivity,NEUTRAL
2335,Screen casting Is not working,NEUTRAL
2336,very nice quality 1 problem USB not complete working,POSITIVE
2337,connectivity is bit slow,NEUTRAL
2338,Screen mirroring issue,NEUTRAL
2339,Casting problem,NEGATIVE
2340,screen mirroring problem,NEGATIVE
2341,problem in connectiong CHROMECAST,NEGATIVE
2342,Little bit problem occurs when I connect TV to Bluetooth,NEGATIVE
2343,Mirror casting not working,NEUTRAL
2344,During mobile connection with tv Too poor Worse,NEGATIVE
2345,why the screen mirroring are not connect with Any Mobile,NEUTRAL
2346,The worst this is connectivity issue,NEGATIVE
2347,cast screen connectivity is very very poor,NEGATIVE
2348,now screen mirroring not working,NEUTRAL
2349,casting is too bad,NEGATIVE
2350,not working for screen mirroring,NEUTRAL
2351,Casting is worst,NEGATIVE
2352,connectivity us also good,POSITIVE
2353,bluetooth connectivity is vary poor,NEGATIVE
2354,having issue with wireless connectivity,NEUTRAL
2355,Bluetooth Connectivity is very bad,NEGATIVE
2356,Some connection problem in TV with Mob during casting,NEGATIVE
2357,cast has worst connectivity,NEGATIVE
2358,connectivity little bit slow,NEUTRAL
2359,I've issue with connecting tv from mobile,NEUTRAL
2360,connectivity has an issue with Bluetooth,NEUTRAL
2361,this does not have Optical cable option,NEUTRAL
2362,there is sometimes problem to connect tv cast from mobile,NEGATIVE
2363,Bluetooth is not connected with Mobile,NEUTRAL
2364,connectivity is low,NEGATIVE
2365,connectivity to mobile in offline mode is too poor,NEGATIVE
2366,"Connectivity, operation is little bit hard",NEGATIVE
2367,connectivity is low,NEGATIVE
2368,Slightly disappointed because it can't connect to a Bluetooth headset,NEGATIVE
2369,Chromecast works fine,POSITIVE
2370,Very awesome Android TV with cheapest,POSITIVE
2371,good MI Android TV,POSITIVE
2372,nice android tv in reasonable,POSITIVE
2373,apps are missing like netflix,POSITIVE
2374,screen casting option bit difficult,NEGATIVE
2375,WiFi connectivity is super fast,POSITIVE
2376,only one problem wifi connectivity slow,NEGATIVE
2377,overall  great deal of FHD 43 Android TV,POSITIVE
2378,Poor internet connectivity,NEGATIVE
2379,problem wifi connection,NEGATIVE
2380,This tv is worst in connectivity,NEGATIVE
2381,screen mirroring is not working,NEUTRAL
2382,internet connectivity is very poor,NEGATIVE
2383,to purchase firestick due to poor wifi connectivity,NEGATIVE
2384,Screen mirroring issue,NEUTRAL
2385,Mobile cast very bad working,NEGATIVE
2386,wifi connection process,NEUTRAL
2387,Worst Connectivity,NEGATIVE
2388,Connectivity is toooooooooo worst,NEGATIVE
2389,screen casting is very slow,NEUTRAL
2390,connectivity is poor,NEGATIVE
2391,cast screen not working,NEUTRAL
2392,Screen casting doesn't working,NEUTRAL
2393,wifi connectivity is too bad,NEGATIVE
2394,use it on wifi only so according to that best,POSITIVE
2395,Internet connectivity also issuesPlease don't go for,NEUTRAL
2396,internet connectivity is poor,NEGATIVE
2397,screen mirroring makes some trouble,NEGATIVE
2398,led best connectivity also good,POSITIVE
2399,Mira cast (screen mirroring ) not work,NEUTRAL
2400,Miracast connection is too bad,NEGATIVE
2401,connectivity poor,NEGATIVE
2402,Slow interface,NEUTRAL
2403,Little bit connection issue,NEUTRAL
2404,you have ethernet facility available then it gives awesome,POSITIVE
2405,excellent connectivity,POSITIVE
2406,Slow in connectivity is only the issue,NEUTRAL
2407,Screen mirroring is very bad,NEGATIVE
2408,....tv interface look awesome,POSITIVE
2409,Problem with WiFi connection,NEGATIVE
2410,Mobile to tv is connected very bad,NEGATIVE
2411,screen cust problem flew mobile,NEGATIVE
2412,Bad cast connectivity,NEGATIVE
2413,Except connectivity remaining all,NEUTRAL
2414,poor when connected with set top box,NEGATIVE
2415,connectivity of cast crome connect litle bit difficult,NEGATIVE
2416,connectivity little slow,NEUTRAL
2417,mirror casting is a big problem,NEGATIVE
2418,Screen mirroring connectivity is problem,NEGATIVE
2419,only negative is casting doesn't work,NEGATIVE
2420,not for Standard Set-top box. Interface is little bit slow,NEUTRAL
2421,poor connectivity,NEGATIVE
2422,very poor connectivity,NEGATIVE
2423,connectivity properly bad,NEGATIVE
2424,built in Chromecast is worst,NEGATIVE
2425,poor connectivity,NEGATIVE
2426,There is no issue in chorme casting mobile is smoothly,NEGATIVE
2427,Having some issues with screen mirroring from mobile,NEUTRAL
2428,"Lacks connectivity, issue with casting",NEUTRAL
2429,connection was too poor,NEGATIVE
2430,connectivity is bad YouTube is can't connect perfectly,NEGATIVE
2431,excellent voice recognition of Google search,POSITIVE
2432,the only problem is screen mirroring,NEGATIVE
2433,USB connection problem,NEGATIVE
2434,is slightly slow connectivity with internet,NEUTRAL
2435,mirror casting no connect,NEGATIVE
2436,Cons:screen mirroring without internet is not possible,NEUTRAL
2437,Bluetooth connectivity is little poor,NEGATIVE
2438,they said chromecast issue,NEUTRAL
2439,since screen casting is not working,NEUTRAL
2440,connectivity is very bad,NEGATIVE
2441,connectivity is not fast,NEUTRAL
2442,Bad connectivity,NEGATIVE
2443,little bit connectivity problem,NEGATIVE
2444,most important  connectivity is so poor it lost connection,NEGATIVE
2445,screen mirroring not working,NEUTRAL
2446,the casting the mobile is the big issue,NEUTRAL
2447,Screen mirroring is not working,NEUTRAL
2448,But Bluetooth Connection is Bad,NEGATIVE
2449,chromecast awesome,POSITIVE
2450,bad connectivity,NEGATIVE
2451,miracast problem mobile,NEGATIVE
2452,Ghatiya TV h connectivity is very bad,NEGATIVE
2453,problem is arised on Bluetooth connectivity,NEGATIVE
2454,Audio not working when I connect using HDMI1 port,NEUTRAL
2455,there is a casting problem,NEGATIVE
2456,Please use HDMI cable for best,POSITIVE
2457,connection is not working,NEUTRAL
2458,voice search not working Bluetooth,NEUTRAL
2459,connectivity is good thanks,POSITIVE
2460,HDMI arc port is not working,NEUTRAL
2461,internet connectivity is not good.mobile sharing is poor,NEGATIVE
2462,Wireless display connectivity issue,NEUTRAL
2463,better connectivity internet,POSITIVE
2464,connectivity is bit issue,NEUTRAL
2465,"Also, screen mirroring doesn't work",NEUTRAL
2466,casting connection is very slow,NEUTRAL
2467,Bluetooth connectivity is slow,NEUTRAL
2468,most amazing thing is google voice search,POSITIVE
2469,Connectivity (built i chromecast) is too bad,NEGATIVE
2470,interface is quite easy,POSITIVE
2471,this issue came after tv got disconnectes with wifi,NEUTRAL
2472,Poor connectivity - wifi connection,NEGATIVE
2473,Worst wifi connectivity,NEGATIVE
2474,Connectivity not good...also casting problem with mobile,POSITIVE
2475,Without  Internet cannot connect mobile screen,NEUTRAL
2476,connectivity options are adequate with 3 hdmis,POSITIVE
2477,Best Android tv,POSITIVE
2478,very good Connectivity is great,POSITIVE
2479,after 6 months internet connectivity via wifi will stop working,NEGATIVE
2480,audio is not supporting when playing movies from USB,NEGATIVE
2481,tv for android tv in just 12999 rupes thank,POSITIVE
2482,worst connectivity,NEGATIVE
2483,Good tv Only problem not able to install Netflix,POSITIVE
2484,One of the Best Android TV on a very reasonable,POSITIVE
2485,But Connection  between my phone to TV(miracast) is more difficulty,NEGATIVE
2486,Connectivity is little slow,NEUTRAL
2487,Still having same issue of Bluetooth connectivity,NEUTRAL
2488,No default selection of AV input like setup box,POSITIVE
2489,"after sometimes WiFi connection doesn't work, and mirror casting not allow on same mobile, and connection with same network mirror casting having problem",NEGATIVE
2490,Connectivity is very slow,NEUTRAL
2491,Connectivity is poor,NEGATIVE
2492,e quality is very good..UI is,NEUTRAL
2493,internet connectivity is very bad,NEGATIVE
2494,Connectivity is bit issue,NEUTRAL
2495,wifi connectivity range is somewhat bad,NEGATIVE
2496,connection speed is awesome,POSITIVE
2497,Connectivity issue with the internet,NEUTRAL
2498,Just 1 drawback wifi not as powerful,NEGATIVE
2499,WiFi is not connecting properly. If wifi connected also it shows wifi is not connected,NEUTRAL
2500,when coming to Mi mobile you will get additional,NEUTRAL
2501,Connectivity issue,NEUTRAL
2502,miracast having problem,NEGATIVE
2503,Mobile connectivity issue,NEUTRAL
2504,there is a connectivity problem on chromecast,NEGATIVE
2505,Totaly money wasteNo connectivity Very slow speed,NEUTRAL
2506,connection is poor,NEGATIVE
2507,Poor connection,NEGATIVE
2508,It's Bluetooth not working and not connected to mobile and also mobile not connected through USB,NEUTRAL
2509,Screen Mirroring Option Not Working,NEUTRAL
2510,Problem on screen casting,NEGATIVE
2511,Mirror Casting is poor,NEGATIVE
2512,No problem in any connectivity issue,NEGATIVE
2513,screen mirroring  is  absolutely  bad,NEGATIVE
2514,internet speed slow work,NEUTRAL
2515,good can use just wifi,POSITIVE
2516,Sony external hard disc 1TB  not responding,NEGATIVE
2517,Connectivity is bit slow,NEUTRAL
2518,HDMI slot 1 is not working,NEUTRAL
2519,Also my tv does not support usb card reader,NEGATIVE
2520,WiFi connectivity is poor,NEGATIVE
2521,It's having issue with casting,NEUTRAL
2522,no option available castscreen without Internet,NEGATIVE
2523,Chromecast connectivity is a problem,NEGATIVE
2524,there is connectivity issue,NEUTRAL
2525,mobile to TV not connected,NEUTRAL
2526,connectivity is worst,NEGATIVE
2527,other mobile not connect very well. wireless display work,NEGATIVE
2528,mirror casting problem,NEGATIVE
2529,Mirror casting problem,NEGATIVE
2530,initially there was a casting problem,NEGATIVE
2531,There is some problem for mirror casting,NEGATIVE
2532,Android connectivity is worst,NEGATIVE
2533,not connecting to screen mirror with out internet,NEUTRAL
2534,worst connectivity,NEGATIVE
2535,CONNECTIVITY ISSUE IN PHONE MIRRORING OTHERWISE 5/5,NEUTRAL
2536,mirror casting problem,NEGATIVE
2537,ANDROID APP IS NOT UPDATED SO SCREEN MIRRORING NOT FUNCTIONING,NEUTRAL
2538,connectivity is poor,NEGATIVE
2539,connecting speed,NEUTRAL
2540,OK sound quality OK good,POSITIVE
2541,Sound quality is excellent,POSITIVE
2542,productValue for moneyGood sound quality,NEUTRAL
2543,Value for money Gud quality Better sound quality,POSITIVE
2544,nice product nice sound,POSITIVE
2545,over good product in its price range sound quality,POSITIVE
2546,"Very nice tv, sound quality is good, best",POSITIVE
2547,good sound quality,POSITIVE
2548,Awesome sound beatAmazing,POSITIVE
2549,Super good sound nice,POSITIVE
2550,performance picture quality awsm sound almost OK OK view angle,POSITIVE
2551,Nice picture nice sound,POSITIVE
2552,sound quality is superb,POSITIVE
2553,It's good for value of money Best sound,POSITIVE
2554,"for money,good product,good sound",NEUTRAL
2555,sound is in best quality,POSITIVE
2556,"quality screen, superb sound",POSITIVE
2557,Good product Nice sound,POSITIVE
2558,Sound effect super low cost best products nice,POSITIVE
2559,Good product Value of money But sound,POSITIVE
2560,Excellent pic quality sound r best,POSITIVE
2561,Fabulous TV Best priceSound quality awesome,POSITIVE
2562,super connection super sound,POSITIVE
2563,also the best perfect sound quality it's tooo awesome,POSITIVE
2564,Marvelous wonderful super quality sound quality amazing,POSITIVE
2565,sound also very awesome Product thanks,POSITIVE
2566,good tv good sound,POSITIVE
2567,product value for money sound,POSITIVE
2568,"perfect TV in perfect costnice pic quality,sound",POSITIVE
2569,awesome tv 32 inch installation was good sound quality,POSITIVE
2570,for moneySound Good,POSITIVE
2571,LCD good quality sound quality,POSITIVE
2572,must buy everyonegreat sound,NEUTRAL
2573,Nice pic nice sound quality,POSITIVE
2574,Very nice product only sound could have been,POSITIVE
2575,"very impressive , better performance, high clarity, better sound quality",POSITIVE
2576,product this price sound quality good,POSITIVE
2577,sound cons:connectivity specially screen cast is very bad,NEGATIVE
2578,very nice tv really smart awesome sound quality,POSITIVE
2579,Amazing TV amazing features best clarity amazing sound quality,POSITIVE
2580,BEST VALUE OF MONEY nice tv sound quality,POSITIVE
2581,NICE SOUND,POSITIVE
2582,It's very nice  good price good qualitie nice sound,POSITIVE
2583,sound quality was good,POSITIVE
2584,for money2 nice display3 nice audio,POSITIVE
2585,"good pictures quality, sound",POSITIVE
2586,Nice quality nice products nice sound thanks,POSITIVE
2587,audio could have been better best,POSITIVE
2588,product value of money sound Quality very good,POSITIVE
2589,nice product full money value with digital sound,POSITIVE
2590,sound quality it is great,POSITIVE
2591,good WiFi connectivity awesomesound,POSITIVE
2592,awesome product this range VALUE OF MONEYGood sound,POSITIVE
2593,Nice product sound quality is best,POSITIVE
2594,Nice product for value sound i great,POSITIVE
2595,sound was excellent value for the budget,POSITIVE
2596,nice sound quality super product thanks,POSITIVE
2597,worth for money sound quality is very good,POSITIVE
2598,quality awesome sound ok,POSITIVE
2599,value of money low price smart TV awesome sound quality,POSITIVE
2600,very good product value for moneysound is,POSITIVE
2601,is Best Sound ExcellentPrice,POSITIVE
2602,Good sound clear good pictur quality,POSITIVE
2603,sound quality very nice conectivity fast,POSITIVE
2604,very value for money excellent sound,POSITIVE
2605,value for moneygreat picture ðð»sou,POSITIVE
2606,great product on great price awesome sound,POSITIVE
2607,best TV for this price segment awesome sound,POSITIVE
2608,awesome pictures quality good sound,POSITIVE
2609,superb tv best tv ever this price superb sound,POSITIVE
2610,OK sound quality OK good,POSITIVE
2611,Sound quality is excellent,POSITIVE
2612,productValue for moneyGood sound quality,NEUTRAL
2613,Value for money Gud quality Better sound quality,POSITIVE
2614,nice product nice sound,POSITIVE
2615,over good product in its price range sound quality,POSITIVE
2616,"Very nice tv, sound quality is good, best",POSITIVE
2617,good sound quality,POSITIVE
2618,Awesome sound beatAmazing,POSITIVE
2619,Super good sound nice,POSITIVE
2620,performance picture quality awsm sound almost OK OK view angle,POSITIVE
2621,Nice picture nice sound,POSITIVE
2622,sound quality is superb,POSITIVE
2623,It's good for value of money Best sound,POSITIVE
2624,"for money,good product,good sound",NEUTRAL
2625,sound is in best quality,POSITIVE
2626,"quality screen, superb sound",POSITIVE
2627,Good product Nice sound,POSITIVE
2628,Sound effect super low cost best products nice,POSITIVE
2629,Good product Value of money But sound,POSITIVE
2630,Excellent pic quality sound r best,POSITIVE
2631,Fabulous TV Best priceSound quality awesome,POSITIVE
2632,super connection super sound,POSITIVE
2633,also the best perfect sound quality it's tooo awesome,POSITIVE
2634,Marvelous wonderful super quality sound quality amazing,POSITIVE
2635,sound also very awesome Product thanks,POSITIVE
2636,good tv good sound,POSITIVE
2637,product value for money sound,POSITIVE
2638,"perfect TV in perfect costnice pic quality,sound",POSITIVE
2639,awesome tv 32 inch installation was good sound quality,POSITIVE
2640,for moneySound Good,POSITIVE
2641,LCD good quality sound quality,POSITIVE
2642,must buy everyonegreat sound,NEUTRAL
2643,Nice pic nice sound quality,POSITIVE
2644,Very nice product only sound could have been,POSITIVE
2645,"very impressive , better performance, high clarity, better sound quality",POSITIVE
2646,product this price sound quality good,POSITIVE
2647,sound cons:connectivity specially screen cast is very bad,NEGATIVE
2648,very nice tv really smart awesome sound quality,POSITIVE
2649,Amazing TV amazing features best clarity amazing sound quality,POSITIVE
2650,BEST VALUE OF MONEY nice tv sound quality,POSITIVE
2651,NICE SOUND,POSITIVE
2652,It's very nice  good price good qualitie nice sound,POSITIVE
2653,sound quality was good,POSITIVE
2654,for money2 nice display3 nice audio,POSITIVE
2655,"good pictures quality, sound",POSITIVE
