,0,1,2
1578,look,Screen Mirroring options not working,NEUTRAL
1579,good,bad connectivity and bad network speed,NEGATIVE
1580,product,Connectivity problem worst,NEGATIVE
1581,nice,chromecast feature work very nice,POSITIVE
1582,picture,Also bad connectivity in mobile  screen mirroring,NEGATIVE
1583,clearance,good connectivity,POSITIVE
1584,very,am facing a problem with screen mirroring,NEGATIVE
1585,good,Connecting( screen mirroring)problem,NEUTRAL
1586,picture,so connectivity not good,NEGATIVE
1587,quality's,bed products mobile casting not properly,NEUTRAL
1588,sound,Very poor connectivity while screen mirroring,NEGATIVE
1589,system,Mobile casting problem,NEGATIVE
1590,for,Connectivity is little bit poor,NEGATIVE
1591,better,not properly connected with mobile,NEUTRAL
1592,experienceconnectivity,it doesn't showing my mobile local videos,NEUTRAL
1593,great,screen mirroring is not working,NEUTRAL
1594,product,watching TV shows via Cable connection  voice clarity so bad,NEGATIVE
1595,from,often get error saying Poor connectivity while I can stream,NEGATIVE
1596,mi,having issue when trying to ise Google cast screen,NEUTRAL
1597,great,casting not working,NEUTRAL
1598,picture,connectivity is very poor not working Chromecast,NEGATIVE
1599,quality,facing mobile casting (Screen mirroring) issue,NEUTRAL
1600,good,Cast screen is an issue,NEUTRAL
1601,in,"connectivity is so poor,please improve",POSITIVE
1602,connectivity,"want screen mirroring, its didn't working very bad connectivity",POSITIVE
1603,plus,Screen mirroring with mobile phone is sometimes having bit complicated,NEUTRAL
1604,sound,d screen casting probl,NEUTRAL
1605,so,connectivity is very poor when connected to mobile hotspot,NEGATIVE
1606,so,screen mirroring doesn't work as expected,NEUTRAL
1607,good,connectivity is very bad screen mirroring,NEGATIVE
1608,mi,CONNECTIVITY IS AWESOME AND CASTING IS A SUPERB,POSITIVE
1609,to,little bit problem while connecting with mirror casting,NEGATIVE
1610,super,worst connectivity issue with Bluetooth,NEGATIVE
1611,value,connectivity is tooo poor,NEGATIVE
1612,for,But need help with screen mirroring,POSITIVE
1613,money,connectivity  problem,NEGATIVE
1614,nice,External Hard drive don't work,NEGATIVE
1615,picture,bad condition on screen mirroring,NEGATIVE
1616,quality,connectivity problem wifi problem so sad,NEGATIVE
1617,nice,connectivity is biggest problem,NEGATIVE
1618,product,screen mirroring connectivity problem don't buy this TV,NEGATIVE
1619,in,issue with the connectivity,NEUTRAL
1620,their,Voice instruction is having issue when connected usb drive,NEUTRAL
1621,budget,TV does not support all Bluetooth audio devices3,NEGATIVE
1622,with,mobile connectivity is awesome overall good,POSITIVE
1623,good,Casting Connection Problem,NEGATIVE
1624,picture,connectivity is very poor also not casting,NEGATIVE
1625,quality,Only problem to connect the usb pendrive,NEGATIVE
1626,and,it not support screen mirroring directlyit little bit complicated,NEGATIVE
1627,sound,don't buy this product internet connectivity is not working properly,NEUTRAL
1628,i,one problem in it that the hdmi,NEGATIVE
1629,must,TV's Bluetooth doesn't connected to my bluetooth speaker,NEUTRAL
1630,say,screen mirroring the connectivity is very poor,NEGATIVE
1631,it,connectivity problem,NEGATIVE
1632,is,also bluetooth connection is too poor,NEGATIVE
1633,completely,Bluetooth connectivity is poor,NEGATIVE
1634,high,requires internet best,POSITIVE
1635,video,screen mirroring option is very bad,NEGATIVE
1636,lag,bluetooth connection bad,NEGATIVE
1637,problemmirror,good sound good wifi connectivity,POSITIVE
1638,cast,poor pic sounds connectivity  waste of money,NEGATIVE
1639,lag,run on 8mbps broadband connection very easily,POSITIVE
1640,problemcard,some connectivity issue like mirror cast you can find problem,NEGATIVE
1641,reader,Nice Android TV excellentð,POSITIVE
1642,not,connectivity good Total good Tv is best,POSITIVE
1643,best,casting or screen mirrioing does not happen properly,NEUTRAL
1644,tv Video,the connectivity is poor like sometimes wifi disconnected,NEGATIVE
1645,quality,connectivity issue  google cast problem to cast we need,NEGATIVE
1646,best Sound,poor WIFI connectivity,NEGATIVE
1647,quality,connectivity issues like casting screen totally disappointed,NEGATIVE
1648,best System,Once I had problem with auto play in HDMI,NEGATIVE
1649,best,There is casting issue tooMain problem,NEGATIVE
1650,awesome,Bluetooth connectivity is very slow,NEUTRAL
1651,product,there's a small connectivity problem using screen casting,NEGATIVE
1652,in,smart mirrored not working properlySome tyme not catch wifi,POSITIVE
1653,this,cable net bad,NEGATIVE
1654,range,Only problem facing with sundirect tv connection,NEGATIVE
1655,sound,Excellent mobile,POSITIVE
1656,awesomepicture,connectivity is very poor working,NEGATIVE
1657,quality,screen mirroring is bad,NEGATIVE
1658,awesomeoverall,"Connectivity is not so ok, every time I got problem connecting my Bluetooth devices",NEGATIVE
1659,it,"e, but need to fix the Bluetooth delayed output ",NEGATIVE
1660,is,Best TV very nice connectivity,POSITIVE
1661,cool,connecting or slow for wifi,NEUTRAL
1662, V A L U E,Connectivity is very poor,NEGATIVE
1663, F O R,Con is wifi is very poor for mobile hotspot,NEGATIVE
1664, M O N E Y S U P E R B,Bluetooth connectivity is very poor,NEGATIVE
1665, P I C T U R E,is good everything is fine only issue with connectivity. Chromecast don't work,POSITIVE
1666, Q U A L I T Y,don't expect for internet using,NEUTRAL
1667, A N D,while connecting wireless display it will not working,NEUTRAL
1668, S O U N D P A T C H,also bluetooth headphones works great,POSITIVE
1669, W A L L,other devices on wifi,NEUTRAL
1670, W I T H,usb data slow,NEUTRAL
1671, A N D R O I D,featuresBut screen casting very very bad,NEGATIVE
1672,is,bluetooth very bad,NEGATIVE
1673,so,connectivity is little bit poor,NEGATIVE
1674,pics,Connectivity of Chromecast is very poor,NEGATIVE
1675,quality,Screen mirror or screen Casting  not working,NEUTRAL
1676,awesome,.There is a problem when connecting cast screen perfectl,NEGATIVE
1677,sound,Chromecast connection is very very bad,NEGATIVE
1678,ok,Awesome ResolutionQuick Connection with WiFi APGreat,POSITIVE
1679,overall,Connectivity is awsome nice fast,POSITIVE
1680,value,screen cast is very poor connectivity,NEGATIVE
1681,for,connectivity very poor screen mirroring not working,NEGATIVE
1682,money,Screen mirror using mobile not working,NEUTRAL
1683,i,I'm having issue on mirror casting,NEUTRAL
1684,purchased,chromecast connection bad,NEGATIVE
1685,it,Very poor features of cast screen,NEGATIVE
1686,yesterday,screen mirroring problem is being occured with samsung mobile,NEGATIVE
1687,nice,bad since wireless connection,NEGATIVE
1688,product,doesn't work well on mirror casting!,NEGATIVE
1689,best,all TV having screen mirroring problem,NEGATIVE
1690,feature,best performance with net connection,POSITIVE
1691,good,cast screen not working,NEUTRAL
1692,picture,slow net connection screen mirroring is not working,NEUTRAL
1693,quality,screen mirroring quiet problem,NEGATIVE
1694,good,connectivity is very nice thank,POSITIVE
1695,sounds,mobile mirroring connection bad,NEGATIVE
1696,and,Mirror casting problem,NEGATIVE
1697,much,Mirror casting with phone is not working,NEUTRAL
1698,more,wifi connectivity is poor,NEGATIVE
1699,i,Bluetooth connectivity is very bad,NEGATIVE
1700,am,some problems in mirror casting,NEGATIVE
1701,so,Mi kindly help to resolves screen Mirroring problem,POSITIVE
1702,happy,little bit problem in casting,NEGATIVE
1703,very,works good with MI Devices,POSITIVE
1704,good,facing casting issue,NEUTRAL
1705,picture,awesome experience good to children's by using WiFi,POSITIVE
1706,quality,awesome tvconnectivity is good,POSITIVE
1707,good,I don't know why some people raised issue of connectivity,NEUTRAL
1708,sounds,Connectivity of Bluetooth is not poor,POSITIVE
1709,qualitygood,poor tuning when connect the cable TV,NEGATIVE
1710,build,not very good connectivity,NEGATIVE
1711,quality,issue is with connectivity. Its Difficult to cast the screen from mobile,NEGATIVE
1712,excellent,accessing internet is bit slow,NEUTRAL
1713,picture,casting is very poor,NEGATIVE
1714,quality,very poor connectivity between mobile,NEGATIVE
1715,best,connectivity is so poor for Bluetooth its so slow,NEGATIVE
1716,performance,Wifi connectivity is very poor,NEGATIVE
1717,very,cast screen connection problem and wifi connection problem,NEGATIVE
1718,nice,screen mirroring not working without internet,NEUTRAL
1719,product,mi TV is having WiFi connection issue,NEUTRAL
1720,good,"But, Connectivity is bad with WiFi",NEGATIVE
1721,picture,mobile performance is excellent,POSITIVE
1722,quality,connect network problem USB problem not connecting,NEGATIVE
1723,delivery,Connectivity is excellent,POSITIVE
1724,and,handsome price gud connectivity,POSITIVE
1725,installation,little bit connectivity problem,NEGATIVE
1726,same,only problem is wifi getting disconnected,NEGATIVE
1727,days,Connectivity is note good,POSITIVE
1728,better,overall review is okok The WiFi connectivity is poor,NEGATIVE
1729,display,I find a lot connectivity issue. The chrome cast especially has poor connectivity,NEGATIVE
1730,good,But connectivity little bit problem,NEGATIVE
1731,sounds,A bit disappointed by Netflix,NEGATIVE
1732,quality,Bluetooth connect just small problem,NEGATIVE
1733,better,One thing need to improve is chrome casting,POSITIVE
1734,price,"Severe issues with connectivity, netflix prime does not work",NEGATIVE
1735,budget,best in price android tv,POSITIVE
1736,it,Bluetooth connectivity Need to improve,POSITIVE
1737,has,have good WiFi connection you get better,POSITIVE
1738,a,wireless connectivity is not good,NEGATIVE
1739,loud,you connect bluetooth mouse your voice command wont work,NEUTRAL
1740,speaker,super mi android TV full in nice,POSITIVE
1741,and,1st Xiaomi let us know the true value of mobile,POSITIVE
1742,bass,nnection.that,NEUTRAL
1743,is,pro super working net connectivity,POSITIVE
1744,awesome,Because this TV don't have Screen cast (screen mirroring) option,NEUTRAL
1745,with,"chromecast issue, wifi connection issue android problem, cable tv tuning worst",NEGATIVE
1746,super,screen mirror work only WiFi not working,NEUTRAL
1747,voice,cast screen process is little bit difficult,NEGATIVE
1748,clarity,screen mirroring not working,NEUTRAL
1749,picture,little bit connectivity problem,NEGATIVE
1750,quality,connectivity is very poor,NEGATIVE
1751,is,Poor connectivity,NEGATIVE
1752,very,connectivity is poor,NEGATIVE
1753,goodbye,Issue with screen mirroring,NEUTRAL
1754,person,Connectivity issue,NEUTRAL
1755,who,Screen mirroring(cast) is lagging is the only problem,NEGATIVE
1756,installed,Wifi connectivity is very poor,NEGATIVE
1757,was,Ethernet port was not working also screen casting,NEUTRAL
1758,very,WiFi connectivity is very poor,NEGATIVE
1759,good,miracast works,NEUTRAL
1760,and,poor connectivity,NEGATIVE
1761,nice,connectivity is too bad,NEGATIVE
1762,mi,Also facing multiple issues with Bluetooth connectivity,NEUTRAL
1763,tov,always an issue when syncing with my bluetooth,NEUTRAL
1764,good,connectivity issue,NEUTRAL
1765,nice,one problem is there Connectivity on Miracast to mobile,NEGATIVE
1766,picture,Connectivity with WiFi is excellent when we have good,POSITIVE
1767,quality,Internet connectivity issue,NEUTRAL
1768,and,Av connection problem,NEGATIVE
1769,good,has sim supporting modem(dongle plug) then it should be,POSITIVE
1770,service,casting works fine,POSITIVE
1771,picture,connectivity is superb,POSITIVE
1772,quality,Major problem - Connectivity,NEGATIVE
1773,is,The wifi don't support 5Ghz band,NEGATIVE
1774,goodsound,Start up time is high also connectivity,NEUTRAL
1775,quality,Casting was Confusing Unable,NEGATIVE
1776,average Value,cast screen featune doesn't work,NEUTRAL
1777,for,Miracast is very bad working on mi tv 4a pro,NEGATIVE
1778,money,Wireless connectivity is poor,NEGATIVE
1779,product,youtube casting didn't face any problem,POSITIVE
1780,100,It doesn't require any internet connection,NEUTRAL
1781,nice,connectivity is very poor. Screen mirroring is also poor,NEGATIVE
1782,product,Miracast is not connected properly,NEUTRAL
1783,with,mobile connectivity is very poor,NEGATIVE
1784,good,Only connection problem,NEGATIVE
1785,picture,Connectivity has no issues . Chromecast works great,POSITIVE
1786,quality,The Chromecast is freezing and internet is also slow,NEGATIVE
1787,very,connectivity is little bit slow,NEUTRAL
1788,good,Connectivity to screen mirroring not working,NEUTRAL
1789,avoid,screen mirroring is too damn slow,NEGATIVE
1790,to,Android Interface --- GoodScreen Casting,NEUTRAL
1791,excellent,casting connectivity is bad,NEGATIVE
1792,product,build quality does not support screen mirroring for any device,NEGATIVE
1793,picture,having few issues while mirror casting,NEUTRAL
1794,quality,Mi tv has connectivity problem via cable,NEGATIVE
1795,is,poor connection capability,NEGATIVE
1796,very,Even Wifi is connected youtube not able to connect,NEUTRAL
1797,nice,wireless connection very poor,NEGATIVE
1798,for,cast screen not upto mark,NEUTRAL
1799,low,connectivity is excellent casting,POSITIVE
1800,price,There is a major issue with Wi-Fi connection,NEUTRAL
1801,compare,Edit:  Google assistant is not working properlyCasting,NEUTRAL
1802,with,WiFi connection is very slow,NEUTRAL
1803,very,connectivity is ok sounds good this is the best,POSITIVE
1804,good,little bit issues with connectivity,NEUTRAL
1805, Product Sound,Screen casting Is not working,NEUTRAL
1806,quality,very nice quality 1 problem USB not complete working,POSITIVE
1807,picture,connectivity is bit slow,NEUTRAL
1808,quality,Screen mirroring issue,NEUTRAL
1809,value,Casting problem,NEGATIVE
1810,for,screen mirroring problem,NEGATIVE
1811,value,problem in connectiong CHROMECAST,NEGATIVE
1812,for,Little bit problem occurs when I connect TV to Bluetooth,NEGATIVE
1813,money,Mirror casting not working,NEUTRAL
1814,sounds,During mobile connection with tv Too poor Worse,NEGATIVE
1815,quality,why the screen mirroring are not connect with Any Mobile,NEUTRAL
1816,awesome,The worst this is connectivity issue,NEGATIVE
1817,awesome,cast screen connectivity is very very poor,NEGATIVE
1818,picture,now screen mirroring not working,NEUTRAL
1819,quality,casting is too bad,NEGATIVE
1820,feels,not working for screen mirroring,NEUTRAL
1821,ok,Casting is worst,NEGATIVE
1822,feel,connectivity us also good,POSITIVE
1823,just,bluetooth connectivity is vary poor,NEGATIVE
1824,awesome,having issue with wireless connectivity,NEUTRAL
1825,do,Bluetooth Connectivity is very bad,NEGATIVE
1826,buy,Some connection problem in TV with Mob during casting,NEGATIVE
1827,nice,cast has worst connectivity,NEGATIVE
1828,one,connectivity little bit slow,NEUTRAL
1829,led,I've issue with connecting tv from mobile,NEUTRAL
1830,to,connectivity has an issue with Bluetooth,NEUTRAL
1831,pais,this does not have Optical cable option,NEUTRAL
1832,vast,there is sometimes problem to connect tv cast from mobile,NEGATIVE
1833,audio,Bluetooth is not connected with Mobile,NEUTRAL
1834,video,connectivity is low,NEGATIVE
1835,quality,connectivity to mobile in offline mode is too poor,NEGATIVE
1836,is,"Connectivity, operation is little bit hard",NEGATIVE
1837,better,connectivity is low,NEGATIVE
1838,nice,Slightly disappointed because it can't connect to a Bluetooth headset,NEGATIVE
1839,feature,Chromecast works fine,POSITIVE
1840,superb,Very awesome Android TV with cheapest,POSITIVE
1841,mi,good MI Android TV,POSITIVE
1842,tov,nice android tv in reasonable,POSITIVE
1843,awesome,apps are missing like netflix,POSITIVE
1844,pictures,screen casting option bit difficult,NEGATIVE
1845,and,WiFi connectivity is super fast,POSITIVE
1846,perfect,only one problem wifi connectivity slow,NEGATIVE
1847,sound,overall  great deal of FHD 43 Android TV,POSITIVE
1848,quality,Poor internet connectivity,NEGATIVE
1849,mindblowing,problem wifi connection,NEGATIVE
1850,good,This tv is worst in connectivity,NEGATIVE
1851,product,screen mirroring is not working,NEUTRAL
1852,best,internet connectivity is very poor,NEGATIVE
1853,quality,to purchase firestick due to poor wifi connectivity,NEGATIVE
1854,picture,Screen mirroring issue,NEUTRAL
1855,best,Mobile cast very bad working,NEGATIVE
1856,sound,wifi connection process,NEUTRAL
1857,quality,Worst Connectivity,NEGATIVE
1858,nice,Connectivity is toooooooooo worst,NEGATIVE
1859,product Picture,screen casting is very slow,NEUTRAL
1860,quality,connectivity is poor,NEGATIVE
1861,super,cast screen not working,NEUTRAL
1862,sound,Screen casting doesn't working,NEUTRAL
1863,quality,wifi connectivity is too bad,NEGATIVE
1864,super Overall,use it on wifi only so according to that best,POSITIVE
1865,super,Internet connectivity also issuesPlease don't go for,NEUTRAL
1866,product,internet connectivity is poor,NEGATIVE
1867,to,screen mirroring makes some trouble,NEGATIVE
1868,dont,led best connectivity also good,POSITIVE
1869,think,Mira cast (screen mirroring ) not work,NEUTRAL
1870,about,Miracast connection is too bad,NEGATIVE
1871,this,connectivity poor,NEGATIVE
1872,just,Slow interface,NEUTRAL
1873,buy,Little bit connection issue,NEUTRAL
1874,now,you have ethernet facility available then it gives awesome,POSITIVE
1875,become,excellent connectivity,POSITIVE
1876,best,Slow in connectivity is only the issue,NEUTRAL
1877,picture,Screen mirroring is very bad,NEGATIVE
1878,quality,....tv interface look awesome,POSITIVE
1879,best,Problem with WiFi connection,NEGATIVE
1880,sound,Mobile to tv is connected very bad,NEGATIVE
1881,and,screen cust problem flew mobile,NEGATIVE
1882,best,Bad cast connectivity,NEGATIVE
1883,conectivitybest,Except connectivity remaining all,NEUTRAL
1884,android,poor when connected with set top box,NEGATIVE
1885,smooth,connectivity of cast crome connect litle bit difficult,NEGATIVE
1886,work,connectivity little slow,NEUTRAL
1887,good,mirror casting is a big problem,NEGATIVE
1888,picture,Screen mirroring connectivity is problem,NEGATIVE
1889,quality,only negative is casting doesn't work,NEGATIVE
1890,good,not for Standard Set-top box. Interface is little bit slow,NEUTRAL
1891,sound,poor connectivity,NEGATIVE
1892,good,very poor connectivity,NEGATIVE
1893,connectivity,connectivity properly bad,NEGATIVE
1894,but,built in Chromecast is worst,NEGATIVE
1895,you,poor connectivity,NEGATIVE
1896,have,There is no issue in chorme casting mobile is smoothly,NEGATIVE
1897,display,Having some issues with screen mirroring from mobile,NEUTRAL
1898,quality,"Lacks connectivity, issue with casting",NEUTRAL
1899,very,connection was too poor,NEGATIVE
1900,poorly,connectivity is bad YouTube is can't connect perfectly,NEGATIVE
1901,don,excellent voice recognition of Google search,POSITIVE
1902,i,the only problem is screen mirroring,NEGATIVE
1903,purchase,USB connection problem,NEGATIVE
1904,excellent,is slightly slow connectivity with internet,NEUTRAL
1905,smart,mirror casting no connect,NEGATIVE
1906,tov,Cons:screen mirroring without internet is not possible,NEUTRAL
1907,awesome,Bluetooth connectivity is little poor,NEGATIVE
1908,sound,they said chromecast issue,NEUTRAL
1909,quality,since screen casting is not working,NEUTRAL
1910,and,connectivity is very bad,NEGATIVE
1911,picture,connectivity is not fast,NEUTRAL
1912,quality,Bad connectivity,NEGATIVE
1913,best,little bit connectivity problem,NEGATIVE
1914,value,most important  connectivity is so poor it lost connection,NEGATIVE
1915,for,screen mirroring not working,NEUTRAL
1916,money,the casting the mobile is the big issue,NEUTRAL
1917,for,Screen mirroring is not working,NEUTRAL
1918, F H D,But Bluetooth Connection is Bad,NEGATIVE
1919,picture,chromecast awesome,POSITIVE
1920,quality,bad connectivity,NEGATIVE
1921,voice,miracast problem mobile,NEGATIVE
1922,assistance,Ghatiya TV h connectivity is very bad,NEGATIVE
1923,is,problem is arised on Bluetooth connectivity,NEGATIVE
1924,amazing,Audio not working when I connect using HDMI1 port,NEUTRAL
1925,amazing,there is a casting problem,NEGATIVE
1926,value,Please use HDMI cable for best,POSITIVE
1927,for,connection is not working,NEUTRAL
1928,money,voice search not working Bluetooth,NEUTRAL
1929,better,connectivity is good thanks,POSITIVE
1930,picture,HDMI arc port is not working,NEUTRAL
1931,quality,internet connectivity is not good.mobile sharing is poor,NEGATIVE
1932,better,Wireless display connectivity issue,NEUTRAL
1933,sounds,better connectivity internet,POSITIVE
1934,even,connectivity is bit issue,NEUTRAL
1935,great,"Also, screen mirroring doesn't work",NEUTRAL
1936,connectivity,casting connection is very slow,NEUTRAL
1937,i,Bluetooth connectivity is slow,NEUTRAL
1938,very,most amazing thing is google voice search,POSITIVE
1939,good,Connectivity (built i chromecast) is too bad,NEGATIVE
1940,product,interface is quite easy,POSITIVE
1941,nice,this issue came after tv got disconnectes with wifi,NEUTRAL
1942,picture,Poor connectivity - wifi connection,NEGATIVE
1943,quality,Worst wifi connectivity,NEGATIVE
1944,in,Connectivity not good...also casting problem with mobile,POSITIVE
1945,low,Without  Internet cannot connect mobile screen,NEUTRAL
1946,price,connectivity options are adequate with 3 hdmis,POSITIVE
1947,thank,Best Android tv,POSITIVE
1948,you,very good Connectivity is great,POSITIVE
1949,mi,after 6 months internet connectivity via wifi will stop working,NEGATIVE
1950,and,audio is not supporting when playing movies from USB,NEGATIVE
1951, Flipkart,tv for android tv in just 12999 rupes thank,POSITIVE
1952,to,worst connectivity,NEGATIVE
1953,flipping,Good tv Only problem not able to install Netflix,POSITIVE
1954,great,One of the Best Android TV on a very reasonable,POSITIVE
1955,product,But Connection  between my phone to TV(miracast) is more difficulty,NEGATIVE
1956,on,Connectivity is little slow,NEUTRAL
1957,that,Still having same issue of Bluetooth connectivity,NEUTRAL
1958,budget,No default selection of AV input like setup box,POSITIVE
1959,picture,"after sometimes WiFi connection doesn't work, and mirror casting not allow on same mobile, and connection with same network mirror casting having problem",NEGATIVE
1960,quality,Connectivity is very slow,NEUTRAL
1961,is,Connectivity is poor,NEGATIVE
1962,ultimate,e quality is very good..UI is ,NEUTRAL
1963,at,internet connectivity is very bad,NEGATIVE
1964,that,Connectivity is bit issue,NEUTRAL
1965,price,wifi connectivity range is somewhat bad,NEGATIVE
1966,range,connection speed is awesome,POSITIVE
1967,awesome,Connectivity issue with the internet,NEUTRAL
1968,super,Just 1 drawback wifi not as powerful,NEGATIVE
1969,full,WiFi is not connecting properly. If wifi connected also it shows wifi is not connected,NEUTRAL
1970,had,when coming to Mi mobile you will get additional,NEUTRAL
1971,graphics,Connectivity issue,NEUTRAL
1972,is,miracast having problem,NEGATIVE
1973,very,Mobile connectivity issue,NEUTRAL
1974,good,there is a connectivity problem on chromecast,NEGATIVE
1975,nice,Totaly money wasteNo connectivity Very slow speed,NEUTRAL
1976,smart,connection is poor,NEGATIVE
1977,led,Poor connection,NEGATIVE
1978,value,It's Bluetooth not working and not connected to mobile and also mobile not connected through USB,NEUTRAL
1979,for,Screen Mirroring Option Not Working,NEUTRAL
1980,money,Problem on screen casting,NEGATIVE
1981,amazing,Mirror Casting is poor,NEGATIVE
1982,picture,No problem in any connectivity issue,NEGATIVE
1983,quality,screen mirroring  is  absolutely  bad,NEGATIVE
1984,best,internet speed slow work,NEUTRAL
1985,in,good can use just wifi,POSITIVE
1986,smart,Sony external hard disc 1TB  not responding,NEGATIVE
1987,tov,Connectivity is bit slow,NEUTRAL
1988,amazing,HDMI slot 1 is not working,NEUTRAL
1989,performance,Also my tv does not support usb card reader,NEGATIVE
1990,with,WiFi connectivity is poor,NEGATIVE
1991,great,It's having issue with casting,NEUTRAL
1992,picture,no option available castscreen without Internet,NEGATIVE
1993,quality,Chromecast connectivity is a problem,NEGATIVE
1994,awesome,there is connectivity issue,NEUTRAL
1995,viewing,mobile to TV not connected,NEUTRAL
1996,angle,connectivity is worst,NEGATIVE
1997,sound,other mobile not connect very well. wireless display work,NEGATIVE
1998,quality,mirror casting problem,NEGATIVE
1999,is,Mirror casting problem,NEGATIVE
2000,also,initially there was a casting problem,NEGATIVE
2001,good,There is some problem for mirror casting,NEGATIVE
2002,and,Android connectivity is worst,NEGATIVE
2003,easy,not connecting to screen mirror with out internet,NEUTRAL
2004,excellent,worst connectivity,NEGATIVE
2005,sound,CONNECTIVITY ISSUE IN PHONE MIRRORING OTHERWISE 5/5,NEUTRAL
2006,excellent,mirror casting problem,NEGATIVE
2007,picture,ANDROID APP IS NOT UPDATED SO SCREEN MIRRORING NOT FUNCTIONING,NEUTRAL
2008,quality,connectivity is poor,NEGATIVE
2009,excellent,connecting speed,NEUTRAL
2010,google,connectivity is very poor,NEGATIVE
2011,assistant,Wifi connectivity problem,NEGATIVE
2012,connectivity,WiFi connectivity is always a problem,NEGATIVE
2013,nice,connectivity is poor,NEGATIVE
2014,to,wireless display connectivity problem,NEGATIVE
2015,picture,news bhi chalta hai internet,NEUTRAL
2016,is,connectivity good,POSITIVE
2017,not,Bt connection is very bad,NEGATIVE
2018,good,screen mirroring not working,NEUTRAL
2019,by,disappoint about Screen mirroring.Miracast doesn't support,NEGATIVE
2020,smart,Connectivity options are good,POSITIVE
2021,to,screen mirroring not working,NEUTRAL
2022,is,Worst screen mirroring,NEGATIVE
2023,nice,little bit of connectivity issue,NEUTRAL
2024,work,connection is very poor,NEGATIVE
2025,good,some time connectivity issues,NEUTRAL
2026,productbest,connectivity issueI am unable to connect cast screen,NEUTRAL
2027,had,Received Android 9 update solved the wifi connectivity,POSITIVE
2028,quality,few times wifi won't connect we have to connect manually,NEUTRAL
2029,overall,Chromecast works excellent,POSITIVE
2030,the,does not support 5 Hz band on WiFi,NEGATIVE
2031,to,have an issue with connecting wifi,NEUTRAL
2032,is,little connection issue,NEUTRAL
2033,good,problem regarding tv or connectivity,NEGATIVE
2034,but,screen mirroring not connected properly,NEUTRAL
2035,don,mirror casting is get slow,NEUTRAL
2036,i,poor connectivity,NEGATIVE
2037,expect, connectivity is very poo,NEUTRAL
2038,the,connection problem,NEGATIVE
2039,picture,wireless connection or internet connectivity is very poor,NEGATIVE
2040,quality,YouTube working good depending upon your internet speed,POSITIVE
2041,as,connectivity not good,NEGATIVE
2042,sony,Connectivity is very bad,NEGATIVE
2043,and,Bluetooth connectivity is good chrome cast works fine,POSITIVE
2044, Samsung,little bit connectivity issue,NEUTRAL
2045,connectivity,wifi connectivity very worst,NEGATIVE
2046,is,poor connectivity,NEGATIVE
2047,good,And awesome connectivity,POSITIVE
2048,worth,Chromecast not connectingremote paring problemdidnt like much,POSITIVE
2049,best,connectivity is not good,NEGATIVE
2050,product,So LoudConnectivity_-didn't,NEUTRAL
2051,in,star becouse of mai MI mobile when,NEUTRAL
2052,this,chromecast screen mirroring very bad it's not working,NEGATIVE
2053,price,Its excellent MI 4A PRO Tv   network connectivity,POSITIVE
2054,range,Worst connection casting issues I have 50mbps internet connection,NEGATIVE
2055,picture,cast problem usb don't support this,NEGATIVE
2056,quality,very bad wifi connectivity problem,NEGATIVE
2057,is,good TV I want complaint connectivity very bad,NEGATIVE
2058,excellent,Connectivity is not working properly specially mobile,NEUTRAL
2059,go,videos quality good internet connection,POSITIVE
2060,for,screen mirroring with my oppo f11 pro mobile,NEUTRAL
2061,it,connectivity is little bit poor,NEGATIVE
2062,best,Wifi connection is very bad,NEGATIVE
2063,product,issue is Bluetooth connection,NEUTRAL
2064,in,found that is wifi connectivity with TV is very poor,NEGATIVE
2065,very,NOTE: CHROMECAST AND SCREEN MIRRORING DOESN'T WORK,NEUTRAL
2066,affordable,the screen mirroring was,NEUTRAL
2067,price,lacking issue with chrome cast with mobile,NEUTRAL
2068,good,Screen cast not working very poor connection,POSITIVE
2069,picture,connectivity mirror screening not working,NEUTRAL
2070,quality Best,mirror casting problem not connected properly,NEGATIVE
2071,sound Awesome,internal feature bad feature Chromecast is not working,NEGATIVE
2072,connectivity,screen mirroring is not working,NEUTRAL
2073,pros,it's little bit slow in connection,NEUTRAL
2074,excellent,connectivity is too bad don't buy it,NEGATIVE
2075,panel,litlle bit problem in connection,NEGATIVE
2076,with,Connectivity Problem for mirror cast pls don't purchase,NEGATIVE
2077,good,connectivity of screen mirroring is very poor,NEGATIVE
2078,colors,Vision is very poorPoor connectivity,POSITIVE
2079,with,Mobile screen mirroring very bad,NEGATIVE
2080,good,connectivity is superb overall a best choice I would recommend,POSITIVE
2081,contrast,this tv is best better connectivity,POSITIVE
2082,ratio,connectivity is poor screen mirror is very bad,NEGATIVE
2083,android,screen mirroring is worst only 15 minute it connected,NEGATIVE
2084,runs,connectivity is so bad specially when Bluetooth,NEGATIVE
2085,smooth,wifi connectivity hope xiaomi solve this issue,POSITIVE
2086,coupled,Issue with screen mirroring video not playing perfectly,NEGATIVE
2087,with,don't expect every feature like android mobile,POSITIVE
2088,remote,Bluetooth doesn't work,NEUTRAL
2089,worth,WiFi connectivity is little,NEUTRAL
2090,the,good picturegood soundsimple user interface,POSITIVE
2091,money,superb tv Best price smart Android TV,POSITIVE
2092,great,but why the hell does this tv don't support NETFLIX,NEGATIVE
2093,quality,pro 4A a good Android tv,POSITIVE
2094,he,"for money, connectivity as good",POSITIVE
2095,channels,In this TV e not connecting a LAN cable and USB ports are not working,NEUTRAL
2096,and,screen casting is a bit slow,NEUTRAL
