,0,1,2,,
2362,...Good battery life  and good camera  Snapdragon 439 not good,Good battery life,POSITIVE,,
2363,...Awesome phone and  battery ðcamera very good..,Awesome phone and  battery ðcamera very goo,NEUTRAL,,
2364,"...very good phone, and battery backup , very good .","very good phone, and battery backup",POSITIVE,,
2365,...Awesome cameraAwesome batteryAwesome displayAwesome built quality,Awesome battery,NEUTRAL,,
2366,...Awesome phone. Long lasting battery for nearly 3 days.  Only disadvantage is that it takes 3hrs,Long lasting battery for nearly 3 days,NEGATIVE,,
2367,...ExcellentBattery backup is awsome,Battery backup is awsome,NEUTRAL,,
2368,...Exllent battery,Exllent battery,NEUTRAL,,
2369,...The battery is so good and Very Powerfull performance With nice,The battery is so good,POSITIVE,,
2370,...Nice phone .. battery backup is good.,battery backup is good,POSITIVE,,
2371,...Redmi 8 is best phone in this range and battery backup is verry good,battery backup is verry good,POSITIVE,,
2372,...The phone camera is not so good but the battery backup is little bit nice. Also the weight is so much.,battery backup is little bit nice,POSITIVE,,
2373,...battery.. Rare camera is ok ok not better.. Battery is nice.. Ye it is value for money,Battery is nice,POSITIVE,,
2374,...Very Nice phone in this Price Range . Good Battery Capacity and Internal Storage is the highlight of,Good Battery Capacity,POSITIVE,,
2375,"...Best phone with big battery , dual camera , finger print sensor and",Best phone with big battery,NEUTRAL,,
2376,...Hi Very good smart phone.  Redmi 8. 4 gb ram 64 gb storage good batery back up.  Attractive price. Simple usage,8. 4 gb ram 64 gb storage good batery back up,POSITIVE,,
2377,"...Only Battery performance if Very Good , Camera is very Poor Quality, Display is",Only Battery performance if Very Good,NEGATIVE,,
2378,...Good battry Long time,Good battry Long time,NEUTRAL,,
2379,...advantage is battery for longer hours and quick charge supporting.,quick charge supporting,POSITIVE,,
2380,"...Hank problem, not hd display quality , low battery , speaker damage problem",low battery,NEGATIVE,,
2381,...Best phone under best price.Good battery life.Delivered fast with filipcart,Good battery life,POSITIVE,,
2382,...Excellent camera and battery backup. Good phone in this range,Excellent camera and battery backup,POSITIVE,,
2383,...screen... Cemara quality is beautiful. Battery backup is verry good and fast ðâ¡charging,Battery backup is verry good,POSITIVE,,
2384,...Awesome product Nice look good battery backup,Nice look good battery backup,POSITIVE,,
2385,...Pros :- Long lasting battery            Moderately premium Look & Feel,Long lasting battery,NEUTRAL,,
2386,...Good phone in its range and good battery,good battery,POSITIVE,,
2387,...Camera quality is good.Battery back up is good.Display is good.,Battery back up is good,POSITIVE,,
2388,...budget gaming and day-to-day phone. The battery is good. Display quality is also good. The camera,battery is good,POSITIVE,,
2389,"...battery is very good, display have proublem, camera is good",battery is very good,POSITIVE,,
2390,...Good phone and battery is very good,battery is very good,POSITIVE,,
2391,...images. front camera is average. only it's battery is awesome. I'm also confused between infinix hot 8,battery is awesome,POSITIVE,,
2392,...Under 8000 best battery & display,Under 8000 best battery,POSITIVE,,
2393,...Battery backup is good but it sometimes hangs,Battery backup is good,POSITIVE,,
2394,...Nice phone .battery is good and phone is very parfect.,battery is good,POSITIVE,,
2395,...Battery backup owesome,Battery backup owesome,NEUTRAL,,
2396,...Bettary backup is very bad,Bettary backup is very bad,NEGATIVE,,
2397,"...Hanging problems found, low battery to much hanging",low battery to much hanging,NEGATIVE,,
2398,...Pros : * Big Battery * Fast Charging * Great Value for Money  *Impressive Aura mirror design.                                       ,Big Battery * Fast Charging * Great Value for Money  *Impressive Aura mirror design,POSITIVE,,
2399,"...Battery backup is awesome, hanging problem is absent.sometimes i think",Battery backup is awesome,POSITIVE,,
2400,...all over good product. camera quality good battery performance good.,camera quality good battery performance good,POSITIVE,,
2401,...the battery is awesome .and performance is top notch.also the interface,battery is awesome,POSITIVE,,
2402,...Very good battery performance  very nice handset,Very good battery performance  very nice handset,POSITIVE,,
2403,"...Super Battery , very good camera, very good display Veri",Super Battery,POSITIVE,,
2404,...worst of money.Screen quality is very bad. battery life good.,battery life good,NEGATIVE,,
2405,...Battery is good..,Battery is good,NEUTRAL,,
2406,...Phone is good but charging is very slow,charging is very slow,POSITIVE,,
2407,...Phone was goodNice designNice battery,Nice battery,NEUTRAL,,
2408,...Nice product & battery backup is good,battery backup is good,POSITIVE,,
2409,...Battery is awesome,Battery is awesome,POSITIVE,,
2410,...Battery is awesome,Battery is awesome,POSITIVE,,
2411,..... Average camera both front nd back Battery is superb.... Display is also good Looks fantastic,Battery is superb,POSITIVE,,
2412,"...all apps open slowly. Camera is average, battery backup is good. Pre-installed apps are not useful and we",battery backup is good,POSITIVE,,
2413,...Very good mobile in this range.must buy if you want good battery life and good audio. It's camera is also is very,must buy if you want good battery life,POSITIVE,,
2414,...Brand. Camera quality is too good. And bettry backup also good.,bettry backup also good,POSITIVE,,
2415,"...A full review good mobile Advantage-long battery,average camera ,good storage,type c charging",Advantage-long battery,POSITIVE,,
2416,...really happy using this phone very good and battery backup is very nice,battery backup is very nice,POSITIVE,,
2417,...Phone is good with big battery but I bought this phone only because it,Phone is good with big battery,POSITIVE,,
2418,...Awesome phone and awesome battery backup ðððï¿½,awesome battery backup ðððï¿½,POSITIVE,,
2419,...Specially battery backup is awesome... Overall nice phone,battery backup is awesome,POSITIVE,,
2420,"...Battery, display and camera all are reaily good i used redmi 3s redmi 4 and redmi 6pro but","Battery, display and camera all are reaily good",POSITIVE,,
2421,"...this mobile, performance was very slow, battery backup was good..Camera is decent ...So due to bad and slow",battery backup was good,NEGATIVE,,
2422,...Batteryð backup is Excellen,Batteryð backup is Excellen,NEUTRAL,,
2423,...processor n slow finger sensor. Otherwise it's a good product with good battery back up n storage capacity âº,it's a good product with good battery back up,POSITIVE,,
2424,...Good quality and sapper battery and camera,Good quality and sapper battery,NEUTRAL,,
2425,...Good ð± Long battery  im Happy thanks flipkar,Good ð± Long battery  im Happy thanks flipkar,POSITIVE,,
2426,....  Other wise.. Mobile is super... And battery back up is excellent.. And camera is average. And value for 4gb,battery back up is excellent,POSITIVE,,
2427,...Good battery,Good battery,NEUTRAL,,
2428,...Awasome battery backup and good performance...,Awasome battery backup,POSITIVE,,
2429,...Best battery,Best battery,NEUTRAL,,
2430,...Amazing battery backup superb,Amazing battery backup superb,POSITIVE,,
2431,...Very nice amazing phoneð± valu for moneyð¤ð¸ðµð´ð¶ð°ð³ Good battery and good,Very nice amazing phoneð± valu for moneyð¤ð¸ðµð´ð¶ð°ð³ Good,POSITIVE,,
2432,"...battry is good ..behv like 4000 mah,,but  red mi 8 has",battry is good,POSITIVE,,
2433,"...day usage, not usable for pubg gaming.Battery is awesome. 4 gb ram 64 gb storage in 8000 is satisfying",Battery is awesome,POSITIVE,,
2434,...Looks good. Battery back-up is also good.. thanks to 5000 Mah battery with 18 watt fast charging.,thanks to 5000 Mah battery with 18 watt fast charging,POSITIVE,,
2435,...Great Budget Phone...â¢ Good Cameraâ¢ Excellent Battery Backup with Type Câ¢ Nice Screenâ¢ Space Good 4Gb 64Gbâ¢ Excellent Design,Great Budget Phone...â¢ Good Cameraâ¢ Excellent Battery Backup with Type Câ¢ Nice Screenâ¢ Space Good 4Gb 64Gbâ¢ Excellent Design,POSITIVE,,
2436,...unlock takes longer time during this time. Battery is good. Display is just ok.,Battery is good,POSITIVE,,
2437,...Battery very good and super Battery,super Battery,POSITIVE,,
2438,...Great battery backup,Great battery backup,NEUTRAL,,
2439,...comparatively light weight with long lasting battery and superb performance ....Better camera,comparatively light weight with long lasting battery,POSITIVE,,
2440,...Osm Mobile.  camera was Good Battery Backup Best... In low Price Best Phone..,camera was Good Battery Backup Best,POSITIVE,,
2441,...very very slow charging,very very slow charging,NEUTRAL,,
2442,...very nice .. battery is superb... worth for money,battery is superb,POSITIVE,,
2443,...Paisa wasul. Nice battery Backup.,Nice battery Backup,POSITIVE,,
2444,...charger is not. This phone has USB type C and supports 18 W fast charging but they supply a normal 10 W charger with,supports 18 W fast charging,POSITIVE,,
2445,"...Value for money.. Looking very nice, above average camera and battery..",above average camera and battery,POSITIVE,,
2446,...Bad Camera&Display. Good Battery,Good Battery,POSITIVE,,
2447,...Phone is good but charging is very slowlyTake full charge up to 5 hour,Take full charge up to 5 hour,POSITIVE,,
2448,...Good product but phone battery down firstly not good work fake 5000mh,Good product but phone battery down firstly not good work fake 5000mh,POSITIVE,,
2449,...Super mobile in this price spr battary,Super mobile in this price spr battary,NEUTRAL,,
2450,...Very nice pic Value for money and best battery backup,best battery backup,POSITIVE,,
2451,...running without heating till now 1month.amazing battery. You can't get this type featured other,amazing battery,NEUTRAL,,
2452,"...Redmi 8 , performance was good, battery backup is excellent....fully satisfied with phone",battery backup is excellent,POSITIVE,,
2453,...problems overall everything is good as well as battery backup is too good but the charger which is came with this,battery backup is too good,POSITIVE,,
2454,...Good battery backup and looking best,Good battery backup,POSITIVE,,
2455,"...Camera quality is okay, battery performance is good.",battery performance is good,POSITIVE,,
2456,...blossomâ¤â¤â¤ display is also very good and the bettery is super duper excellent â¤â¤â¤â¤â¤ i love it....thank you flip cartâ¤â¤â¤,bettery is super duper excellent,POSITIVE,,
2457,...Pros=1) True Value For Money 2) Good Battery Backup 3)Fast Working Processor,Good Battery Backup,POSITIVE,,
2458,"... it's look is good, good quality of ð·, good battery back up up to two days", good battery back up up to two day,POSITIVE,,
2459,"...product and absolutely value for money . Awesome battery, awesome camera.",Awesome battery,POSITIVE,,
2460,"...It's a very Good product, loved it, awesome cam, battery, ram rom, extraordinary, ð","awesome cam, battery",POSITIVE,,
2461,...and all functions are perfect working. Battery life is good for 2 days. Over all wow this price,Battery life is good,POSITIVE,,
2462,...Bad processor... Only battery backup is good..,battery backup is good,NEUTRAL,,
2463,"...pros-good batry ,cons-weak processor, bad camera quality",good batry,NEGATIVE,,
2464,...Great battery backup awesome phone,Great battery backup awesome phone,POSITIVE,,
2465,...Value for money.. I like this mobile.. Battery performance is very good...,Battery performance is very good,POSITIVE,,
2466,...Vary good product but battry back up short,Vary good product but battry back up short,POSITIVE,,
2467,...Mi battery is so super display always super,Mi battery is so super display always super,POSITIVE,,
2468,"...with this price then this is amazing , battery is good , and design is awesome awesome.... buy",battery is good,POSITIVE,,
2469,"...& sound quality is good at this price. Battery is also good. All is okk. I got it at Rs. 7,999.",Battery is also good,POSITIVE,,
2470,"...& sound quality is good at this price. Battery is also good. All is okk. I got it at Rs. 7,999.",Battery is also good,POSITIVE,,
2471,...Very good phone in budget with big battery.,Very good phone in budget with big battery,POSITIVE,,
2472,...Nice battery,Nice battery,NEUTRAL,,
2473,"...it's a best deal in this variant... The battery is powerful,screen is awesome and performance is too",battery is powerful,POSITIVE,,
2474,...screen is also average camera is averageBattery performance is goodAnd overall look of phone is acceptable,Battery performance is good,POSITIVE,,
2475,...worth for money . battery quality was good .mobile features are very good .,battery quality was good,POSITIVE,,
2476,...worth it good battery,worth it good battery,POSITIVE,,
2477,...Camera is ok but the size is 9 mb omgBattery is excellentCharging is bit slower 3 hrs full charge,Battery is excellent,POSITIVE,,
2478,"...Worst camera, poor display, slow charging and not that much expected. No return policy",slow charging,NEGATIVE,,
2479,"...value for money..battery & Display good, but processor Average",battery & Display good,POSITIVE,,
2480,...Awsome phone in low buget ...good battery ..display..,good battery,NEGATIVE,,
2481,...mobile phn under 7999   Best camera and best battery backup    Best features,best battery backup,POSITIVE,,
2482,...Mi 8 Mobile display is average but battery performance is very good,battery performance is very good,POSITIVE,,
2483,...selfie result same as note 8 Back camera okGood battery backupAnd C type and 18w charger support best,Good battery backup,POSITIVE,,
2484,...Nice battery,Nice battery,NEUTRAL,,
2485,...battery backup is best but display and camera quality isn't good,battery backup is best,NEGATIVE,,
2486,...Nice product. Sound quality is very good. Battary backup is good. Photo quality awesome. Overall good product,Battary backup is good,POSITIVE,,
2487,...Very nice battery very nice camera mobile very nice super,Very nice battery very nice camera mobile very nice super,POSITIVE,,
2488,...Good qualityGood frofarmensGood batteryGood looking,Good battery,NEUTRAL,,
2489,...Superb phone and ossom battery.,ossom battery,NEUTRAL,,
2490,...product nice good bettery capacity,product nice good bettery capacity,POSITIVE,,
2491,...Awesome Phone ! Value for money! main thing i like about this phone is the Awesome Battery Back & Super-fast Charging,main thing i like about this phone is the Awesome Battery Back,POSITIVE,,
2492,...What is good1. Good battery backup.2. Ok kinda camera and does the job in,Good battery backup,POSITIVE,,
2493,...Battery backup is good but camera is quality less,Battery backup is good,POSITIVE,,
2494,"...Very good phone with great battery, decent performance and good camera. Best",Very good phone with great battery,POSITIVE,,
2495,...value for money... it has good nd long battery with nice camera,long battery with nice camera,POSITIVE,,
2496,"...receiving not good,sometimes hanging problem. battery is good.more features in low price",battery is good,POSITIVE,,
2497,...Excellent mobileBattery was awesomeBest value mobile,Battery was awesome,POSITIVE,,
2498,...Only battery is good ð camera very bad DNT buy if u camera lover if u want only performance n battery then go for i,Only battery is good ð camera very bad DNT buy if u camera lover if u want only performanc,POSITIVE,,
2499,...just like Barby girls full of Buety mood. Battery is best. And display 720p not bad @ this price,Battery is best,POSITIVE,,
2500,"...if we have this with latest processor, overall good battery, display and color of the mobile.",overall good battery,POSITIVE,,
2501,...good performance excellent battery backup,excellent battery backup,POSITIVE,,
2502,...Battery is good and camera fully bad,Battery is good,NEGATIVE,,
2503,...awesome performance very nice battery life good camera quality,awesome performance very nice battery life good camera quality,POSITIVE,,
2504,...Nice phone and awesome battery backup,awesome battery backup,POSITIVE,,
2505,...use the phn sometime it is hanging .... Battery capacity is awsm....,Battery capacity is awsm,NEUTRAL,,
2506,"...Good phone, good display avg cameraGood battery backup.. Good phone for normal users..",Good battery backup,POSITIVE,,
2507,...battery performance is good,battery performance is good,POSITIVE,,
2508,...processor lags   2. camera averagepros ---1. grt battery.,grt battery,NEGATIVE,,
2509,"...phone in this amount, definitely go for it, battery is very powerful.",battery is very powerful,POSITIVE,,
2510,...good phone battery is so good,good phone battery is so good,POSITIVE,,
2511,...Redmi 8 budget mobile and all of good battery backup and charging support is very nice,all of good battery backup,POSITIVE,,
2512,"...Very good product, battery backup very good, flipkart delivery within two day..",battery backup very good,POSITIVE,,
2513,...Good performance and battery backup.,Good performance and battery backup,NEUTRAL,,
2514,...Osm phn nice camera good battery backup and display hd osm,Osm phn nice camera good battery backup,POSITIVE,,
2515,...Super mobile fast charge,Super mobile fast charge,NEUTRAL,,
2516,...1.5000 Mah battery backup awesome.2.camera quality very good.Back camera,1.5000 Mah battery backup awesome,NEUTRAL,,
2517,...the Ultimate performance and best battery backup... wosam must buy ...,best battery backup,POSITIVE,,
2518,...Nice one battery backup is very strong,Nice one battery backup is very strong,POSITIVE,,
2519,...values of money... excellent battary backupï¿½,excellent battary backup,POSITIVE,,
2520,...good gravity mobile..... battery is bestðï¿½,battery is best,NEUTRAL,,
2521,...Veery good bettery,Veery good bettery,POSITIVE,,
2522,...issueCamera not god but vellufor moneyBattery 1day averageType C port very good,Battery 1day average,POSITIVE,,
2523,"...mobile , or for people dont play games , battery is awesome, finally  good mobile , value for money",battery is awesome,POSITIVE,,
2524,...Decent phone for this price. Nice look and good battery life.,good battery life,POSITIVE,,
2525,...great attery backup.they should have include an 18w fast charger on the box.ram management is very good.the processor,they should have include an 18w fast charger on the box,NEUTRAL,,
2526,...battery performance is good,battery performance is good,POSITIVE,,
2527,"...Good Battery capacity in this value of price ,,",Good Battery capacity in this value of price,POSITIVE,,
2528,"...I gifted my dad, he was very happy and it gives normal calls in 4 to 5 days in single charge",it gives normal calls in 4 to 5 days in single charge,POSITIVE,,
2529,...awesome battery life.,awesome battery life,NEUTRAL,,
2530,"...Battery life is amazing, epic value for money, Camera is too good",Battery life is amazing,POSITIVE,,
2531,...product cammera is good not very good but battery is too good long backup.....,battery is too good long backup,POSITIVE,,
2532,...Redmi 8 is good battery be,Redmi 8 is good battery be,POSITIVE,,
2533,...Great phone with good performance and superb battery backup.,superb battery backup,POSITIVE,,
2534,...battery capacity good but display don't work mst,battery capacity good,POSITIVE,,
2535,...best products mi8 excellent battery,best products mi8 excellent battery,POSITIVE,,
2536,"...,it starts switching off automaticallyBattery drains off from 33% to 0 suddenly.Never go for redmi product especially their",Battery drains off from 33% to 0 suddenly,NEUTRAL,,
2537,...* value for money* best battery backup* camera quality good* processor is poor,best battery backup,POSITIVE,,
2538,...Awesome mobile. Great battery backup. Best Android mobile under 8k,Great battery backup,POSITIVE,,
2539,...Good mobile looking and battery backup .and fine,Good mobile looking and battery backup,POSITIVE,,
2540,...Very gud budget phone and nice battery backup,nice battery backup,POSITIVE,,
2541,...carema is very good battery perfomance is excellent,battery perfomance is excellent,POSITIVE,,
2542,...looking very stylish and premium quality. Battery is superb. Thanks Flipkart..I have received this phone,Battery is superb,POSITIVE,,
2543,...Awesome mobile in 8k budget highly recommend for long lasting battery,Awesome mobile in 8k budget highly recommend for long lasting battery,POSITIVE,,
2544,...good condition mobile also battery backup exlent,good condition mobile also battery backup exlent,NEUTRAL,,
2545,...Awesome camera... Good battery.. value for money... Totally gd mobile,Good battery,POSITIVE,,
2546,"...I am writing this review after two days. Great battery backup, in full use it comes for me 24 hrs. Dece", Great battery back,POSITIVE,,
2547,...Nice product with excellent battery performance.Value for money.,Nice product with excellent battery performance,POSITIVE,,
2548,...Nice look and battery backup,Nice look and battery backup,NEUTRAL,,
2549,...awesome piece ...I got it ...battery backup is too good ..,battery backup is too good,POSITIVE,,
2550,"...Very good phone...nice display and long battery life ,, good camera, 4gb Ram, large storage.",long battery life,POSITIVE,,
2551,...best mobile is battery is powerful,battery is powerful,POSITIVE,,
2552,...Its worth with awesome battery for this price. Snapdragon should be more and little more,Its worth with awesome battery for this price,POSITIVE,,
2553,...Very long battery,Very long battery,NEUTRAL,,
2554,"...Truly a beast, serves my purpose as I need bigger screen and battery back up is just awesome 5000mah works like a charm. Camera is Disappointing both rear & Front",serves my purpose as I need bigger screen and battery back up is just awesome 5000mah works like a charm,POSITIVE,,
2555,...Great battery and performance... Lacks camera quality,Great battery,NEUTRAL,,
2556,...one I like it every things are well and battery backup is so good,battery backup is so good,POSITIVE,,
2557,...is excellent camera clearity is good battery is long lasting,battery is long lasting,POSITIVE,,
2558,...good mobile with reasonable price with excellent battery back up but the screen resolution is low. overall,good mobile with reasonable price with excellent battery back up,NEGATIVE,,
2559,...Very good Mobile and nice smooth display long bettery nice mobile,nice smooth display long bettery nice mobile,POSITIVE,,
2560,...Very good Mobile and nice smooth display long bettery nice mobile,nice smooth display long bettery nice mobile,POSITIVE,,
2561,...Osam phone and nice battery backup,nice battery backup,POSITIVE,,
2562,...very excellentð camerað· and batteryð powerf,d batteryð power,NEUTRAL,,
2563,...valu of money. battry verry good like it..,battry verry good like it,POSITIVE,,
2564,...battery performance is very poor.,battery performance is very poor,NEGATIVE,,
2565,...very good phone. Camera quality is super. Battery backup is good. Otherwise   all is good product.,Battery backup is good,POSITIVE,,
2566,...hang problem. display is not soo good. battery is excellent.average camera.,battery is excellent,NEGATIVE,,
2567,...long battery life,long battery life,NEUTRAL,,
2568,...only battery is good of this phone.. phone automatically stucked,battery is good,POSITIVE,,
2569,...Value for money.. Battery Backup is good .,Battery Backup is good,POSITIVE,,
2570,...really good performance nd battery backup good,really good performance nd battery backup good,POSITIVE,,
2571,...this. Pros :4 gb 64 .5000 mah type csupport fast chargeSapphire blue is attractiveprocessor is,support fast charge,NEUTRAL,,
2572,...nice phone good facility as per moneybattery is best,battery is best,POSITIVE,,
2573,...Nice battery Back up Good phone,Nice battery Back up Good phone,POSITIVE,,
2574,...4gb ram and 64 GB storage its awesome and 5000 big battery available at this price it's awesome I used this product full of Experienced and realisable mobile,5000 big battery available at this price it's awesome I used this product full of Experienced,POSITIVE,,
2575,...I am writing the review it's very bad. Battery and camera is good..,Battery and camera is good,NEGATIVE,,
2576,"...latter works absolutely fine in this device. Fast Charging , exibits it's full potential normaly with",Fast Charging,POSITIVE,,
2577,"...from a 12 + 2 MP dual rear camera.(B) Battery performance is also very good, It lasts upto 2 days after full charge",Battery performance is also very good,POSITIVE,,
2578,...battery performance better than other phone ???,battery performance better than other phone ???,POSITIVE,,
2579,...good awosome mobile battery backup is good,battery backup is good,POSITIVE,,
2580,...Processer is very poor quality and battery was amaging,battery was amaging,NEGATIVE,,
2581,"...good phone for low budgetbattery performance good, very goodmi hatts of to u",battery performance good,POSITIVE,,
2582,...I like this mobile in this price and it's battery too good,it's battery too good,POSITIVE,,
2583,...best phone at 8000 price . battery backup is too good,battery backup is too good,POSITIVE,,
2584,...good battery backup,good battery backup,NEUTRAL,,
2585,...super product.it has ausome batery back up.and value of money,it has ausome batery back up,POSITIVE,,
2586,...Good battary back upValue for money,Good battary back up,NEUTRAL,,
2587,...nice battery...camera is goodand best phone under 8k,nice battery,POSITIVE,,
2588,...nice battery backup and good condition,nice battery backup,POSITIVE,,
2589,...best in battery but camera is little bit low and screen,best in battery,NEGATIVE,,
2590,...excellent battery,excellent battery,NEUTRAL,,
2591,...battery  backup is so good but speed is too slow also camera quality,battery  backup is so good,POSITIVE,,
2592,...done..except everything is fine till now..battery is awesome...its a bit heavy..,battery is awesome,POSITIVE,,
2593,...camera is not up to the matk.battery is too good,battery is too good,POSITIVE,,
2594,"...good performance and nice battery backup ,always super",nice battery backup,POSITIVE,,
2595,...excellent product with great battery life but display quality is not good.,excellent product with great battery life,NEGATIVE,,
2596,...Super battery backup,Super battery backup,NEUTRAL,,
2597,"...very good product by redmi, good camera, good battery backup, in this price range this is a super phone",good battery backup,POSITIVE,,
2598,...a very good phone in this budget.nice camera awesome battery life.,nice camera awesome battery life,POSITIVE,,
2599,...Nic smart phon and good battery backup ....thinx Flipkart,good battery backup,POSITIVE,,
2600,...Nic smart phon and good battery backup ....thinx Flipkart,good battery backup,POSITIVE,,
2601,...phone is very good and value for money. Battery performance is good,Battery performance is good,POSITIVE,,
2602,...Very nice phone or battery,Very nice phone or battery,POSITIVE,,
2603,...Big screen. Big battery with decent charging speed. Faced no issue regarding performance.Display,Big battery with decent charging speed,NEGATIVE,,
2604,...looks awesome. Display is ok at this price. Battery is excellent. Good voice call quality and network reception,Battery is excellent,POSITIVE,,
2605,...Best phone in this range. The Best Battery backup. More storage space. Sometimes I feel phone,The Best Battery backup,POSITIVE,,
2606,...Good Phone. Battery was awesome.,Battery was awesome,POSITIVE,,
2607,"...much more expensive than it really is. Battery is decent, camera performance is good but in low light",Battery is decent,NEGATIVE,,
2608,...is not cleared . Camera quality wasted. Battery performance is good . IR booster not working all the items.,Battery performance is good,NEGATIVE,,
2609,...ove this productðtoooo amazingðluv this prdctâ¤battery is very goodðtnq ,prdctâ¤battery is ver,NEUTRAL,,
2610,...value for money .. beautiful mobile with .. great battery backup and screen size also remarkable... loved,great battery backup,POSITIVE,,
2611,"...i am very happy about the redmi 8, it's battery backup is excellent. camera is also good. some time camera don't",battery backup is excellent,POSITIVE,,
2612,...Best phone in this price excellent battery backup,Best phone in this price excellent battery backup,POSITIVE,,
2613,...good battery life,good battery life,NEUTRAL,,
2614,...great battery backup,great battery backup,NEUTRAL,,
2615,...can say one if the best phone under 8k. getting awesome battery life and afcourse notbest but gud camera and,getting awesome battery life,POSITIVE,,
2616,"...I liked this product, its battery life is very good I have a great thing.",battery life is very good,POSITIVE,,
2617,"...Good battery, but build Quality is very bad",Good battery,NEGATIVE,,
2618,...battery is good,battery is good,POSITIVE,,
2619,...Awesome battery backup + budget phone,Awesome battery backup,NEUTRAL,,
2620,...Best UI as Redmi always provided..Battery Backup is nice.Camera Quality is Great within Rs.8000,Battery Backup is nice,POSITIVE,,
2621,"...nice quality ,best performance and powerful battery . looking is awesome",powerful battery,POSITIVE,,
2622,"...Good phone with great battery. Camera is average, day light shots are",Good phone with great battery,POSITIVE,,
2623,...Value for Money Camera is OkBattery is very good and the important part is that it supports,Battery is very good,POSITIVE,,
2624,...I gifted to my Mother nice phone for daily use nice battery and nice camera.,I gifted to my Mother nice phone for daily use nice battery,POSITIVE,,
2625,"...decent camera and display, but battery is really great",battery is really great,POSITIVE,,
2626,...Awesome phone and battery and look,Awesome phone and battery,NEUTRAL,,
2627,...battery backup is excellent and mobile is looking very good,battery backup is excellent,POSITIVE,,
2628,...battery backup is too good,battery backup is too good,POSITIVE,,
2629,...Overall a best ð± in this price. Battery back up is good but camera isn't of good quality, Battery back up is goo,POSITIVE,,
2630,...the osam mobile ..camera is exelent and battery backup is osam ...,battery backup is osam,NEUTRAL,,
2631,"...Thanks Flipkart nice bettery backup, camera lov it value for money",Thanks Flipkart nice bettery backup,POSITIVE,,
2632,"...I didn't get good product,there is a battery charging issue in the phone as well as the screen is also not working properly, sometime the phone gets hanged",there is a battery charging issue in the phone as well as the screen is also not working properly,NEGATIVE,,
2633,"...Excellent Product, Performance is awesome, Battery life is great.  It's value for money ð",Battery life is great,POSITIVE,,
2634,...good mobile with good battery.,good mobile with good battery,POSITIVE,,
2635,...Nice battery back up.. but not installing some apps.,Nice battery back up,NEUTRAL,,
2636,...within two days with  excellent packaging. It's been over a week almost I think I have use my charger only 3 to 4 times because of great battery backup . while writing this I didn't knew how to,It's been over a week almost I think I have use my charger only 3 to 4 times because of great battery backup,POSITIVE,,
2637,...A very good product. best battery backup nd features are value for money.. â­,best battery backup,POSITIVE,,
2638,"...money smart phone, not for heavy user. battry lasts one day.",battry lasts one day,POSITIVE,,
2639,"...pros : good battery ,ambient storage, value for money,if u want",good battery,POSITIVE,,
2640,...awesome battery backup,awesome battery backup,NEUTRAL,,
2641,...Battery was awesome but phone has hanging issues some times,Battery was awesome,POSITIVE,,
2642,...Battery backup is awesome...,Battery backup is awesome,NEUTRAL,,
2643,...Battery is fantasticCamera is not too good,Battery is fantastic,NEGATIVE,,
2644,...very nice phone and good battery Ty so much,good battery Ty so much,POSITIVE,,
2645,...best spec phone & performance is awesome. My only suggestion for redmi is to bundle fast charger with the box,My only suggestion for redmi is to bundle fast charger with the box,POSITIVE,,
2646,"...good looking ,best battery backup,and good Camera,,,,",best battery backup,POSITIVE,,
2647,...in this prizemobile clarity very nicebattery backup also goodbut camera is poor,battery backup also good,NEGATIVE,,
2648,"...perfect,So overall good phone under 8Kbattery is awesome,so good 4.6*camera is 4*display 3.9*performance",battery is awesome,POSITIVE,,
2649,"...very nice mobile and battery back up is very good , I am very happy with this shopping app",battery back up is very good,POSITIVE,,
2650,...display quality very bad but performance battery quality very good,performance battery quality very good,POSITIVE,,
2651,...battery backup is so good than other Mobile But some time They are,battery backup is so good,POSITIVE,,
2652,"...this range .1) Perfect performance2) Long bettery life3) Looking beautiful4) at least , Best",Long bettery life,POSITIVE,,
2653,...xlent battery,xlent battery,NEUTRAL,,
2654,...nice phone with big battery,nice phone with big battery,NEUTRAL,,
2655,"...Product is very good, camera clarity, battery backup is excellent. audio is superb. value for money in this",battery backup is excellent,POSITIVE,,
2656,...Awesome ð jhakkas  camera is so good battery backup goo,Awesome ð jhakkas  camera is so good battery backup goo,POSITIVE,,
2657,...good phone nd battery is best,battery is best,POSITIVE,,
2658,...performance is best....look wise awesome...battery is also best...overall I am happy with the Redmi 8,battery is also best,POSITIVE,,
2659,...battery performance is goodvalue for money is high,battery performance is good,NEUTRAL,,
2660,...sound quality is good battery back up good,sound quality is good battery back up good,POSITIVE,,
2661,...Phone is awesome..battery is very good...but camera quality is low...,battery is very good,NEUTRAL,,
2662,...also more than average for price range. battery is excellent. overall good for this price.,battery is excellent,POSITIVE,,
2663,"...Awesome smartphone with great design ,battery back up awesome, application optimised smoothly.multi app",battery back up awesome,POSITIVE,,
2664,"...Overall phone is good, battery backup and call quality is good.. But phone has hanging issue's, don't even",battery backup and call quality is good,POSITIVE,,
2665,...value of money gd battery performance,value of money gd battery performance,NEUTRAL,,
2666,...very good. 2. Display is very good.3. Battery is also awesome. give you one and half  days charge for,Battery is also awesome,POSITIVE,,
2667,...Best mobile in 8k. Camera quality is good. good battery backup.thank you flipkart for this.,good battery backup,POSITIVE,,
