Causal Phrase,Sentiment,,
"Nice Mobile , battery No 1",POSITIVE,,
great battery life,POSITIVE,,
Nice battry backup,POSITIVE,,
Good battery backup   8000 thousand   worthwhile price,POSITIVE,,
Battery life is very good,POSITIVE,,
very good camera long battery backup gaming performance is so good best mobile under 9999,POSITIVE,,
Processor is low graphics low battry good totally this handset useful,POSITIVE,,
Excellent battery backup,POSITIVE,,
Battery is awesome,POSITIVE,,
Nice battery backup,NEUTRAL,,
It's taking 2.5hr to full charge,NEGATIVE,,
Excellent mobile at this price range with Great battery back up,POSITIVE,,
Battery backup is awesome,POSITIVE,,
Good bettery,POSITIVE,,
Bettery backup is good,NEGATIVE,,
long-lasting battery,POSITIVE,,
Best battery backup,NEUTRAL,,
Best battery backup,NEUTRAL,,
Battery was draining very fast for phone calls,NEUTRAL,,
Good battery lifeCamera is,NEUTRAL,,
Battery life is,POSITIVE,,
Battery back up is very good,POSITIVE,,
battery is too good,POSITIVE,,
battery is,POSITIVE,,
Great product my sis is very happy nice battery backup,POSITIVE,,
Long battery life,NEGATIVE,,
battery is efficient,NEUTRAL,,
Battery gives good,POSITIVE,,
Good battery backup loved,POSITIVE,,
Nice smartphone just great battery are very very long,POSITIVE,,
battery is amazing,POSITIVE,,
charging is very slow,POSITIVE,,
Super battery back up very bad for I don't like this phone,NEGATIVE,,
Battery backup goodCamera average,POSITIVE,,
Good battery backup,POSITIVE,,
Camera is not as expectedBattery backup,NEUTRAL,,
Battery drains,NEUTRAL,,
Battery drains,NEUTRAL,,
For MoneyBattery backup is very good,POSITIVE,,
super battery life,NEUTRAL,,
Only battery is good,NEGATIVE,,
Fast charger 18 waat not provided,NEUTRAL,,
nice battery backup,POSITIVE,,
One week use good battery backup camera is,POSITIVE,,
he recommended it for day to day work loadvand if one need large battery,POSITIVE,,
battery and camera are good,POSITIVE,,
battery performance is good,POSITIVE,,
battery is good,POSITIVE,,
Battery life is just awesome,POSITIVE,,
Excellent battery backup,NEUTRAL,,
phone with good battery,POSITIVE,,
And the battery life is awesome,POSITIVE,,
Battery back up is,POSITIVE,,
Battery backup is best,POSITIVE,,
Battey is average,NEUTRAL,,
Battery is very good,NEUTRAL,,
battery backup is very good,POSITIVE,,
battery backup is very good,POSITIVE,,
battery backup is awasome,POSITIVE,,
good battery,POSITIVE,,
you may buy  Redmi 9 Prime for more powerful battery,POSITIVE,,
Battery life is good,POSITIVE,,
it hardly runs 7 hours after full charge,NEGATIVE,,
Price is awesome battery backup,POSITIVE,,
Battery Backup is Good,POSITIVE,,
Amazing battery life thanks to flipkart 20hour delivery amazing,POSITIVE,,
Decent Battery,NEUTRAL,,
Super battery backup,POSITIVE,,
Good productNice battery backup Awesome,POSITIVE,,
Best battery life,POSITIVE,,
not goodBattery,POSITIVE,,
Excellent battery back up,NEUTRAL,,
The Battery Backup is great,NEUTRAL,,
battery backup was great,POSITIVE,,
Battery is good remaining all are not worthy,POSITIVE,,
Battery is too good,POSITIVE,,
Nice phoneGood battery life,NEUTRAL,,
Nice phoneGood battery life,NEUTRAL,,
Battery life is excellent,POSITIVE,,
Good battery life,POSITIVE,,
Big battery,POSITIVE,,
Very bad productWorst battery backup,NEGATIVE,,
phone is battery is very good,POSITIVE,,
battery and performance are good,POSITIVE,,
good battery backup,POSITIVE,,
Good battery backup,NEUTRAL,,
the battery is really awesome,POSITIVE,,
Battery is 5000mah powerfull battery backup,NEGATIVE,,
great battery life,POSITIVE,,
Battery is good,POSITIVE,,
battery is amazing,POSITIVE,,
Battery life is awesome,NEUTRAL,,
Good battery backup,NEUTRAL,,
battery is extremely good,POSITIVE,,
Excellant battery back up,NEUTRAL,,
"Value for money phone with good features , display, battery",POSITIVE,,
This is good product and battery backup,POSITIVE,,
Battery is best,NEUTRAL,,
Long lasting battery,POSITIVE,,
battery back up is great,POSITIVE,,
Battery superb,POSITIVE,,
Good battery life,POSITIVE,,
Battery Backup is good,POSITIVE,,
battery is good,POSITIVE,,
Battery backup is almost good,POSITIVE,,
Nice battery backup,POSITIVE,,
U have to buy fast charger bcoz charger in box charges in 3.30 hours,NEGATIVE,,
Great battery life,NEUTRAL,,
battery is very good,POSITIVE,,
Battry backup awesome,POSITIVE,,
Battery really awesome if you are high graphic game player it withstands upto a day,POSITIVE,,
Battery backup is good,POSITIVE,,
Battery is too good,POSITIVE,,
Good battery backup,POSITIVE,,
2 Charging speed very slow almost 5 hour to full charge,NEGATIVE,,
battery is very nice,POSITIVE,,
Battery life is good,NEGATIVE,,
Battery life is good,NEGATIVE,,
Value for money selfie camera is so good  battery 12 hours stand by,POSITIVE,,
Good battery backup,POSITIVE,,
good battery,POSITIVE,,
Battery is good,POSITIVE,,
Battery is very Good,POSITIVE,,
Battery is good,POSITIVE,,
Battery very very good,NEUTRAL,,
battery backup is very nice,POSITIVE,,
Nice battery backup,NEUTRAL,,
Battery is very good,POSITIVE,,
Amazing battery,POSITIVE,,
Battery bacup is good good camera quality,POSITIVE,,
good battery bacup,POSITIVE,,
good battery nic mobile phone,POSITIVE,,
Battery performence very good,NEGATIVE,,
battery is also bad,NEGATIVE,,
battery performance is very good,POSITIVE,,
Battery backup is nice,POSITIVE,,
big battery,NEUTRAL,,
battary lasts long,POSITIVE,,
Super battery,POSITIVE,,
CAMERA IS GOOD BATTERY IS AWESOME,POSITIVE,,
it doesn't come with fast charger in box,NEGATIVE,,
Battery backup is great,POSITIVE,,
Nice phone good battery backup,POSITIVE,,
battery and camera are nice,POSITIVE,,
Battery backup is awesome,POSITIVE,,
Battery backup is very good,POSITIVE,,
camera is not good battery is excellent must buy I got at 9799,POSITIVE,,
The best part is powerful battery,POSITIVE,,
battery backup is so Good no need to Worry of charging,POSITIVE,,
battery backup is very excellent,POSITIVE,,
bettry is good,POSITIVE,,
Good battery backup,NEUTRAL,,
battery is very nice,POSITIVE,,
Good battery,NEUTRAL,,
Battery back up nice,POSITIVE,,
Very bad battery backup,NEGATIVE,,
Best battery back up,NEUTRAL,,
good phone with big battery,NEUTRAL,,
Battery backup is awesome,POSITIVE,,
Nice battery backup,NEUTRAL,,
Good Battery Backup,POSITIVE,,
best battery,POSITIVE,,
Nice one ð as per price range good battery backu,POSITIVE,,
battery is excellent,POSITIVE,,
battery backup is so good,POSITIVE,,
Good mobile with nice battery backup,POSITIVE,,
very slow charging,NEUTRAL,,
Long lasting Battery,POSITIVE,,
Good batry backup,POSITIVE,,
Battery quality is good,NEUTRAL,,
nice battry,POSITIVE,,
BATTERY IS JUST AWSOME,NEUTRAL,,
the battery backup and fast charging feature is superb,POSITIVE,,
only one thing that mi should do would be to give 18w fast charger in the box,NEUTRAL,,
Good battery backup,POSITIVE,,
the battery lasts for 2 days,POSITIVE,,
Battery performance is very gud,NEUTRAL,,
hNice battery backup upto 12 hou,NEUTRAL,,
Battery life is very good,POSITIVE,,
Battery Backup is awesome,POSITIVE,,
Only worth for a good battery,POSITIVE,,
Very nice big battery,POSITIVE,,
Battery is superb,POSITIVE,,
excellent battery backup,POSITIVE,,
Very nice product good bettery back up,POSITIVE,,
battery backup is also good,POSITIVE,,
Good battery backu,POSITIVE,,
Good battery backu,POSITIVE,,
Battery performance is very good,POSITIVE,,
Good phone battery backup is good,POSITIVE,,
more than a day long battery everything value for money,POSITIVE,,
Good quality best camera excellent battery,POSITIVE,,
battery is very good,POSITIVE,,
good performance and battery life,POSITIVE,,
SO Smart with powerful battery,POSITIVE,,
Super battery backup is amazing,POSITIVE,,
Good battery,NEUTRAL,,
Good Battery backup nice selfie overall performance excellent,POSITIVE,,
camera is very poor nice battery backup,NEGATIVE,,
battery very good,POSITIVE,,
lasting battery,POSITIVE,,
Very good battery backup,POSITIVE,,
Osm ð· osm battery backu,NEUTRAL,,
Awesome battery,NEGATIVE,,
Ok with good battery backup,POSITIVE,,
Battery is awesome,NEUTRAL,,
Best mobile for low price and battery is very wonderful,POSITIVE,,
Battery backup is good also,POSITIVE,,
Company should have provide fast charger when it's support fast charging,POSITIVE,,
Battery & charging is good,POSITIVE,,
Battery is quite big,NEUTRAL,,
Big battery for all day,NEUTRAL,,
BETTER BATTERY LIFE,POSITIVE,,
Very good with everything excellent battery back up awesome others also,POSITIVE,,
battery is good,POSITIVE,,
Gud products  gud bettery backup,NEUTRAL,,
Nice battery backup best,POSITIVE,,
Battery backup superb,POSITIVE,,
better features excellent camera good battery,POSITIVE,,
Battery was fantastic,POSITIVE,,
battery backup awesome,POSITIVE,,
Battery backup is excellent,POSITIVE,,
Battery is simply superb,POSITIVE,,
Nice Battery Backup,POSITIVE,,
good battery life totally mobile was exlent performance,POSITIVE,,
Supar product supar battery supar display supar  all supar,NEUTRAL,,
Good battery backup,POSITIVE,,
good battery life,POSITIVE,,
Best bettery backup,NEUTRAL,,
Good battery backup,POSITIVE,,
Good battery backup,POSITIVE,,
battery is good,POSITIVE,,
nice looks..and battery life,NEUTRAL,,
Gud phone battery gud,NEUTRAL,,
long battery powerful by mi,POSITIVE,,
battery backup is very good,NEUTRAL,,
best battery backup,POSITIVE,,
battery backup and performance is good,POSITIVE,,
Battery backup very nice,POSITIVE,,
super backup batery,POSITIVE,,
Good battery,POSITIVE,,
bettery is good,POSITIVE,,
Very bad battery backup,NEGATIVE,,
battery life is good,POSITIVE,,
battery back up is good,POSITIVE,,
Supports fast charging,NEGATIVE,,
"Flip cart is always good for online shopping,,,original product???,,,,,Osm mobile with excellent battery",NEGATIVE,,
Really the name speaks itself redmi 8 is really great phone with powerful battery,POSITIVE,,
battery is also very powerful,POSITIVE,,
Good camera and battery,NEUTRAL,,
battery backup is owsome,NEUTRAL,,
Awesome battery,POSITIVE,,
Great Battery,NEUTRAL,,
Battery capacity is awesome,POSITIVE,,
good battery backup because 5000 MAH battery,POSITIVE,,
Only big battery,NEUTRAL,,
quality super battry good no issues,POSITIVE,,
quality super battry good no issues,POSITIVE,,
Awesome battery,NEUTRAL,,
Battery is too good,POSITIVE,,
nice battery  backup,POSITIVE,,
battery is bi,NEGATIVE,,
Battery capacity is good,POSITIVE,,
Verry good battery,POSITIVE,,
battery back up is tooo good,POSITIVE,,
Superb Battery Backup,POSITIVE,,
Good battery backup,POSITIVE,,
battery backup is really very good,POSITIVE,,
Good Battery,POSITIVE,,
excellent battery life,POSITIVE,,
battery are very good,POSITIVE,,
"Amazing phone with good specifications, performance, battery",POSITIVE,,
"Good budget phone, battery backup",POSITIVE,,
battery lasts for two days,POSITIVE,,
Good battery,POSITIVE,,
Battery backup Awesome,NEUTRAL,,
battery performance is very good,POSITIVE,,
Good battery,POSITIVE,,
I used just 1 year it's good battery is also good camera just fine for that price,POSITIVE,,
Battery and camera is quite Awesome,POSITIVE,,
Best performance best battery back up awesome experience with redmi 8,POSITIVE,,
very nice battery,POSITIVE,,
good battery life with fast charging,NEGATIVE,,
it taking 3hrs to get full charge,NEUTRAL,,
Battery back up is awesome,POSITIVE,,
Battery backup also good,POSITIVE,,
Excellent mobile phone with best battery backup,POSITIVE,,
Excellent mobile phone with best battery backup,POSITIVE,,
battery backup is gud,NEUTRAL,,
Battery backup awesome,POSITIVE,,
Battery is very bad,NEGATIVE,,
it takes 2 hours to full charge,POSITIVE,,
the battery long lasting,POSITIVE,,
This phone have a good battery,POSITIVE,,
Great Battery Life,POSITIVE,,
10000. The 5000mah massive battery gives 1.5day of battery life for high usage,POSITIVE,,
battery drains quickly,NEUTRAL,,
nice battery backup,POSITIVE,,
powerfull battery,NEUTRAL,,
battery backup is nice,NEUTRAL,,
nice battery,NEUTRAL,,
Battery backup superb,POSITIVE,,
which charge the phone in less compare to normal charging,NEUTRAL,,
awesome battery,NEUTRAL,,
battery life is so good I like it,POSITIVE,,
Battery backup is good,POSITIVE,,
Nice phone with good battery life,POSITIVE,,
bettery backup is very good,POSITIVE,,
Battery is good,POSITIVE,,
Battery is good,POSITIVE,,
Red MI 8 Very good mobile and battery,POSITIVE,,
Good budget smartphones with great battery life,POSITIVE,,
Very good battery backup upto 10 hour on surfing net,POSITIVE,,
nice battery,POSITIVE,,
EXSTRA GOOD BATTERY,POSITIVE,,
battery is good,POSITIVE,,
battery is toooo good,POSITIVE,,
Battery is superb,NEGATIVE,,
Battery  backup very good,POSITIVE,,
Battery  backup  is really  good,NEGATIVE,,
Battery performance is good,NEUTRAL,,
battery performance is very good,POSITIVE,,
First six months good battery backup after very low backup,POSITIVE,,
A budget phone with best camera and battery,POSITIVE,,
battery is very very good,POSITIVE,,
Good working good performance good battery life everything is fine prices of money ï¿½,POSITIVE,,
battery lasts for 2 days in normal usage,POSITIVE,,
Battery backup is best,POSITIVE,,
Battery performance is also good,POSITIVE,,
Battery backup is very good,POSITIVE,,
battery and performance is amazing,POSITIVE,,
large battery,NEUTRAL,,
battery backup is good,NEUTRAL,,
Gud camera gud battery backup,POSITIVE,,
Battery is awesome,POSITIVE,,
Battery backup is worst,NEGATIVE,,
Good battery life to last for 2 days with moderate usage,NEUTRAL,,
Best battery,NEUTRAL,,
Battery backup is great,POSITIVE,,
Excellent battery,POSITIVE,,
Awesome phone good battery life,POSITIVE,,
Good phone battery backup is good,POSITIVE,,
Battery life is awesome,POSITIVE,,
nice phone for best battery backup,POSITIVE,,
battery is very powerful,POSITIVE,,
Nice phone Big battery good sounds,POSITIVE,,
Good battery backup,NEUTRAL,,
A awesome battery lasts for upto 3 days,POSITIVE,,
Nyc battery backup acha hai,NEUTRAL,,
The ð backup is also amazing 4 day continue when it full charg,POSITIVE,,
Battery life is really good,POSITIVE,,
excellent battery,POSITIVE,,
Battery backup is also good,NEUTRAL,,
battery backup is very good,POSITIVE,,
battey backup is very good,NEUTRAL,,
Battery is good,POSITIVE,,
very good battery,POSITIVE,,
It is Very Good Phone Nice  battery backup with  good camera quality phone ï¿½,POSITIVE,,
battery very nice,POSITIVE,,
Battery and performance is too good,POSITIVE,,
Battery life is awesome,NEGATIVE,,
Great battery back up,NEUTRAL,,
Good phone at this price only problem is of battery charging it does not come with fast charger also the spamming ads of mi is annoying,NEGATIVE,,
battery is best,POSITIVE,,
It takes almost 4 hrs to full charge even 2A charger are given with it,NEGATIVE,,
charging is too slow,NEUTRAL,,
Battery is very Good,POSITIVE,,
Battery is very Good,POSITIVE,,
Super phone with amazing battery life,POSITIVE,,
Battery is very good,POSITIVE,,
decent battery life,NEGATIVE,,
Good battery life,POSITIVE,,
Good battery back up,NEUTRAL,,
This mobile is amazing battery life,POSITIVE,,
good battery life,POSITIVE,,
Battery is good,POSITIVE,,
gud battery backup,NEUTRAL,,
Battery backup is Very Good,POSITIVE,,
Good battery backup best mobile,POSITIVE,,
fast charge,NEUTRAL,,
Perfect Mobile with long lasting battery,POSITIVE,,
GD quality camera and battery backup,NEUTRAL,,
battery is very good,POSITIVE,,
Battery backup iss awesome,POSITIVE,,
battery life is  good design also good,POSITIVE,,
Battery capacity very good,POSITIVE,,
Superb Battery backup,POSITIVE,,
This smartphon is very good battery backup better camera is better on this price,POSITIVE,,
Battery backup very very good,POSITIVE,,
Best battery back up,NEUTRAL,,
battery is too good,POSITIVE,,
Battery life excellent,POSITIVE,,
Nice features best battery backup,POSITIVE,,
nice battery backup,NEUTRAL,,
"nice camera , battery",POSITIVE,,
Battery is superb,POSITIVE,,
Battery 10days good backup from next day very poor backup,NEGATIVE,,
Battery 10days good backup from next day very poor backup,NEGATIVE,,
its not going to make fast charging,NEUTRAL,,
I think it's very good choice having very good battery backup,POSITIVE,,
Best battery,NEUTRAL,,
Good batery,POSITIVE,,
Excellent battery backup,POSITIVE,,
Suprb battery backup,NEUTRAL,,
Battery backup superb,POSITIVE,,
Good battery life,NEUTRAL,,
Nice battery,POSITIVE,,
battery is fantastic,POSITIVE,,
Fast charger is supported 3.0 Quick charge,POSITIVE,,
Very good mobile redmi 8 and battery,POSITIVE,,
battery life is awesome,POSITIVE,,
battery backup is good,POSITIVE,,
"Good software, camera and Battery Life also well",POSITIVE,,
Battery also Good,POSITIVE,,
Battery Backup is Very Good,POSITIVE,,
good awesome great battery best budget phone pros are good no con heavy phone,POSITIVE,,
Bigger battery,NEUTRAL,,
battery is draining very fast,NEUTRAL,,
big screen size and battery back up is good,POSITIVE,,
battery performance is very good,POSITIVE,,
Powerful battery,NEUTRAL,,
battery is good,NEGATIVE,,
good big battery,POSITIVE,,
average battery,POSITIVE,,
Battery is very good other wise average,POSITIVE,,
Battery is awsme,NEUTRAL,,
Battery performance very good,NEUTRAL,,
Battery last for almost 2 days,POSITIVE,,
Battery performance is really very good,POSITIVE,,
good battery backup,POSITIVE,,
best battery,POSITIVE,,
battery is good,POSITIVE,,
They are Osm battery is best,POSITIVE,,
battery is long time,POSITIVE,,
Battery backup is awesome,POSITIVE,,
Battery backup is good amazing phone no waste money lovely phone thank you Flipkart,POSITIVE,,
battery life is osm,NEUTRAL,,
bettery backup good in Mobile Phone,POSITIVE,,
battery capacity is good,POSITIVE,,
Battery backup good,NEUTRAL,,
Gud battery backup,NEUTRAL,,
good battery performance,POSITIVE,,
Very excellent phone by remi good battery,POSITIVE,,
good battery from Dhananjay Patil Kolhapur thank you,POSITIVE,,
has a good battery backup,POSITIVE,,
battery full charge in only 2hours,POSITIVE,,
Battery is good,POSITIVE,,
Battery is good,POSITIVE,,
battery backup is very good,POSITIVE,,
Battery is good,NEUTRAL,,
Battery is superb,POSITIVE,,
battery life is good,NEGATIVE,,
Battery is good,POSITIVE,,
long battery,POSITIVE,,
Battery is decent,NEUTRAL,,
Battery life is good,NEUTRAL,,
battery backup is awesom,POSITIVE,,
Battery is good,POSITIVE,,
Good battery,POSITIVE,,
superb battery,POSITIVE,,
battery backup is very good,POSITIVE,,
MI 8 IS AWESOME FOR CAMERA AND BATTERY BACKUP,POSITIVE,,
excellent battery go for it,POSITIVE,,
Nice battery backup,NEUTRAL,,
battery backup is also good,POSITIVE,,
Nice phone with nice battery back up,POSITIVE,,
Battery backup is very good,POSITIVE,,
Battery backup is very good,POSITIVE,,
bettery performance are good,POSITIVE,,
Good battery life,POSITIVE,,
Awesome phone and  battery ðcamera very goo,NEUTRAL,,
"very good phone, and battery backup",POSITIVE,,
Awesome battery,NEUTRAL,,
Long lasting battery for nearly 3 days,NEGATIVE,,
Battery backup is awsome,NEUTRAL,,
Exllent battery,NEUTRAL,,
The battery is so good,POSITIVE,,
battery backup is good,POSITIVE,,
battery backup is verry good,POSITIVE,,
battery backup is little bit nice,POSITIVE,,
Battery is nice,POSITIVE,,
Good Battery Capacity,POSITIVE,,
Best phone with big battery,NEUTRAL,,
8. 4 gb ram 64 gb storage good batery back up,POSITIVE,,
Only Battery performance if Very Good,NEGATIVE,,
Good battry Long time,NEUTRAL,,
quick charge supporting,POSITIVE,,
low battery,NEGATIVE,,
Good battery life,POSITIVE,,
Excellent camera and battery backup,POSITIVE,,
Battery backup is verry good,POSITIVE,,
Nice look good battery backup,POSITIVE,,
Long lasting battery,NEUTRAL,,
good battery,POSITIVE,,
Battery back up is good,POSITIVE,,
battery is good,POSITIVE,,
battery is very good,POSITIVE,,
battery is very good,POSITIVE,,
battery is awesome,POSITIVE,,
Under 8000 best battery,POSITIVE,,
Battery backup is good,POSITIVE,,
battery is good,POSITIVE,,
Battery backup owesome,NEUTRAL,,
Bettary backup is very bad,NEGATIVE,,
low battery to much hanging,NEGATIVE,,
Big Battery * Fast Charging * Great Value for Money  *Impressive Aura mirror design,POSITIVE,,
Battery backup is awesome,POSITIVE,,
camera quality good battery performance good,POSITIVE,,
battery is awesome,POSITIVE,,
Very good battery performance  very nice handset,POSITIVE,,
Super Battery,POSITIVE,,
battery life good,NEGATIVE,,
Battery is good,NEUTRAL,,
charging is very slow,POSITIVE,,
Nice battery,NEUTRAL,,
battery backup is good,POSITIVE,,
Battery is awesome,POSITIVE,,
Battery is awesome,POSITIVE,,
Battery is superb,POSITIVE,,
battery backup is good,POSITIVE,,
must buy if you want good battery life,POSITIVE,,
bettry backup also good,POSITIVE,,
Advantage-long battery,POSITIVE,,
battery backup is very nice,POSITIVE,,
Phone is good with big battery,POSITIVE,,
awesome battery backup ðððï¿½,POSITIVE,,
battery backup is awesome,POSITIVE,,
"Battery, display and camera all are reaily good",POSITIVE,,
battery backup was good,NEGATIVE,,
Batteryð backup is Excellen,NEUTRAL,,
it's a good product with good battery back up,POSITIVE,,
Good quality and sapper battery,NEUTRAL,,
Good ð± Long battery  im Happy thanks flipkar,POSITIVE,,
battery back up is excellent,POSITIVE,,
Good battery,NEUTRAL,,
Awasome battery backup,POSITIVE,,
Best battery,NEUTRAL,,
Amazing battery backup superb,POSITIVE,,
Very nice amazing phoneð± valu for moneyð¤ð¸ðµð´ð¶ð°ð³ Good,POSITIVE,,
battry is good,POSITIVE,,
Battery is awesome,POSITIVE,,
thanks to 5000 Mah battery with 18 watt fast charging,POSITIVE,,
Great Budget Phone...â¢ Good Cameraâ¢ Excellent Battery Backup with Type Câ¢ Nice Screenâ¢ Space Good 4Gb 64Gbâ¢ Excellent Design,POSITIVE,,
Battery is good,POSITIVE,,
super Battery,POSITIVE,,
Great battery backup,NEUTRAL,,
comparatively light weight with long lasting battery,POSITIVE,,
camera was Good Battery Backup Best,POSITIVE,,
very very slow charging,NEUTRAL,,
battery is superb,POSITIVE,,
Nice battery Backup,POSITIVE,,
supports 18 W fast charging,POSITIVE,,
above average camera and battery,POSITIVE,,
Good Battery,POSITIVE,,
Take full charge up to 5 hour,POSITIVE,,
Good product but phone battery down firstly not good work fake 5000mh,POSITIVE,,
Super mobile in this price spr battary,NEUTRAL,,
best battery backup,POSITIVE,,
amazing battery,NEUTRAL,,
battery backup is excellent,POSITIVE,,
battery backup is too good,POSITIVE,,
Good battery backup,POSITIVE,,
battery performance is good,POSITIVE,,
bettery is super duper excellent,POSITIVE,,
Good Battery Backup,POSITIVE,,
good battery back up up to two day,POSITIVE,,
Awesome battery,POSITIVE,,
"awesome cam, battery",POSITIVE,,
Battery life is good,POSITIVE,,
battery backup is good,NEUTRAL,,
good batry,NEGATIVE,,
Great battery backup awesome phone,POSITIVE,,
Battery performance is very good,POSITIVE,,
Vary good product but battry back up short,POSITIVE,,
Mi battery is so super display always super,POSITIVE,,
battery is good,POSITIVE,,
Battery is also good,POSITIVE,,
Battery is also good,POSITIVE,,
Very good phone in budget with big battery,POSITIVE,,
Nice battery,NEUTRAL,,
battery is powerful,POSITIVE,,
Battery performance is good,POSITIVE,,
battery quality was good,POSITIVE,,
worth it good battery,POSITIVE,,
Battery is excellent,POSITIVE,,
slow charging,NEGATIVE,,
battery & Display good,POSITIVE,,
good battery,NEGATIVE,,
best battery backup,POSITIVE,,
battery performance is very good,POSITIVE,,
Good battery backup,POSITIVE,,
Nice battery,NEUTRAL,,
battery backup is best,NEGATIVE,,
Battary backup is good,POSITIVE,,
Very nice battery very nice camera mobile very nice super,POSITIVE,,
Good battery,NEUTRAL,,
ossom battery,NEUTRAL,,
product nice good bettery capacity,POSITIVE,,
main thing i like about this phone is the Awesome Battery Back,POSITIVE,,
Good battery backup,POSITIVE,,
Battery backup is good,POSITIVE,,
Very good phone with great battery,POSITIVE,,
long battery with nice camera,POSITIVE,,
battery is good,POSITIVE,,
Battery was awesome,POSITIVE,,
Only battery is good ð camera very bad DNT buy if u camera lover if u want only performanc,POSITIVE,,
Battery is best,POSITIVE,,
overall good battery,POSITIVE,,
excellent battery backup,POSITIVE,,
Battery is good,NEGATIVE,,
awesome performance very nice battery life good camera quality,POSITIVE,,
awesome battery backup,POSITIVE,,
Battery capacity is awsm,NEUTRAL,,
Good battery backup,POSITIVE,,
battery performance is good,POSITIVE,,
grt battery,NEGATIVE,,
battery is very powerful,POSITIVE,,
good phone battery is so good,POSITIVE,,
all of good battery backup,POSITIVE,,
battery backup very good,POSITIVE,,
Good performance and battery backup,NEUTRAL,,
Osm phn nice camera good battery backup,POSITIVE,,
Super mobile fast charge,NEUTRAL,,
1.5000 Mah battery backup awesome,NEUTRAL,,
best battery backup,POSITIVE,,
Nice one battery backup is very strong,POSITIVE,,
excellent battary backup,POSITIVE,,
battery is best,NEUTRAL,,
Veery good bettery,POSITIVE,,
Battery 1day average,POSITIVE,,
battery is awesome,POSITIVE,,
good battery life,POSITIVE,,
they should have include an 18w fast charger on the box,NEUTRAL,,
battery performance is good,POSITIVE,,
Good Battery capacity in this value of price,POSITIVE,,
it gives normal calls in 4 to 5 days in single charge,POSITIVE,,
awesome battery life,NEUTRAL,,
Battery life is amazing,POSITIVE,,
battery is too good long backup,POSITIVE,,
Redmi 8 is good battery be,POSITIVE,,
superb battery backup,POSITIVE,,
battery capacity good,POSITIVE,,
best products mi8 excellent battery,POSITIVE,,
Battery drains off from 33% to 0 suddenly,NEUTRAL,,
best battery backup,POSITIVE,,
Great battery backup,POSITIVE,,
Good mobile looking and battery backup,POSITIVE,,
nice battery backup,POSITIVE,,
battery perfomance is excellent,POSITIVE,,
Battery is superb,POSITIVE,,
Awesome mobile in 8k budget highly recommend for long lasting battery,POSITIVE,,
good condition mobile also battery backup exlent,NEUTRAL,,
Good battery,POSITIVE,,
Great battery back,POSITIVE,,
Nice product with excellent battery performance,POSITIVE,,
Nice look and battery backup,NEUTRAL,,
battery backup is too good,POSITIVE,,
long battery life,POSITIVE,,
battery is powerful,POSITIVE,,
Its worth with awesome battery for this price,POSITIVE,,
Very long battery,NEUTRAL,,
serves my purpose as I need bigger screen and battery back up is just awesome 5000mah works like a charm,POSITIVE,,
Great battery,NEUTRAL,,
battery backup is so good,POSITIVE,,
battery is long lasting,POSITIVE,,
good mobile with reasonable price with excellent battery back up,NEGATIVE,,
nice smooth display long bettery nice mobile,POSITIVE,,
nice smooth display long bettery nice mobile,POSITIVE,,
nice battery backup,POSITIVE,,
d batteryð power,NEUTRAL,,
battry verry good like it,POSITIVE,,
battery performance is very poor,NEGATIVE,,
Battery backup is good,POSITIVE,,
battery is excellent,NEGATIVE,,
long battery life,NEUTRAL,,
battery is good,POSITIVE,,
Battery Backup is good,POSITIVE,,
really good performance nd battery backup good,POSITIVE,,
support fast charge,NEUTRAL,,
battery is best,POSITIVE,,
Nice battery Back up Good phone,POSITIVE,,
5000 big battery available at this price it's awesome I used this product full of Experienced,POSITIVE,,
Battery and camera is good,NEGATIVE,,
Fast Charging,POSITIVE,,
Battery performance is also very good,POSITIVE,,
battery performance better than other phone ???,POSITIVE,,
battery backup is good,POSITIVE,,
battery was amaging,NEGATIVE,,
battery performance good,POSITIVE,,
it's battery too good,POSITIVE,,
battery backup is too good,POSITIVE,,
good battery backup,NEUTRAL,,
it has ausome batery back up,POSITIVE,,
Good battary back up,NEUTRAL,,
nice battery,POSITIVE,,
nice battery backup,POSITIVE,,
best in battery,NEGATIVE,,
excellent battery,NEUTRAL,,
battery  backup is so good,POSITIVE,,
battery is awesome,POSITIVE,,
battery is too good,POSITIVE,,
nice battery backup,POSITIVE,,
excellent product with great battery life,NEGATIVE,,
Super battery backup,NEUTRAL,,
good battery backup,POSITIVE,,
nice camera awesome battery life,POSITIVE,,
good battery backup,POSITIVE,,
good battery backup,POSITIVE,,
Battery performance is good,POSITIVE,,
Very nice phone or battery,POSITIVE,,
Big battery with decent charging speed,NEGATIVE,,
Battery is excellent,POSITIVE,,
The Best Battery backup,POSITIVE,,
Battery was awesome,POSITIVE,,
Battery is decent,NEGATIVE,,
Battery performance is good,NEGATIVE,,
prdctâ¤battery is ver,NEUTRAL,,
great battery backup,POSITIVE,,
battery backup is excellent,POSITIVE,,
Best phone in this price excellent battery backup,POSITIVE,,
good battery life,NEUTRAL,,
great battery backup,NEUTRAL,,
getting awesome battery life,POSITIVE,,
battery life is very good,POSITIVE,,
Good battery,NEGATIVE,,
battery is good,POSITIVE,,
Awesome battery backup,NEUTRAL,,
Battery Backup is nice,POSITIVE,,
powerful battery,POSITIVE,,
Good phone with great battery,POSITIVE,,
